"CandidateID","FullName","BallotName","ElectoralDistrict","Sex","DataQuality","LastUpdated"
"206 ","Flowers by Hasir Saleh Mahdi Al- Rubaie","Civil Democratic Allia- nce",,"   female
 ","OK","2025-10-15 10:25:05"
"244 ","Hasir N Salloum Dawood Salman Al-Dawri","Al-Arafri Foun- dation Coalition",,"Male","OK","2025-10-15 10:25:05"
"271 ","Hasir N Hassankataa Mus Jal- iha","Services Alliance",,"Male","OK","2025-10-15 10:25:05"
"255 ","Hoda Jarallah Dawood Hasir N Al-Ghabsha","Progress Party",,"   female
 ","OK","2025-10-15 10:25:05"
"259 ","Jassim Mohammed Ashlaka, the end of evil, technically","National Depth Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"244 ","Karim Salman Nasser Hasir N Baydani","Al-Arafri Foun- dation Coalition",,"Male","OK","2025-10-15 10:25:05"
"267 ","Marwan Hazem Abdel Rahman Dhnoon Abdel Rah- man","Nineveh for its people",,"Male","OK","2025-10-15 10:25:05"
"245 ","Mohammed Rashid Hashim Fadl Al- Akili","Canon's secr- ets",,"Male","OK","2025-10-15 10:25:05"
"255 ","Mohammed Shweish Ahmed Haseer N Al-Qaisi","Progress Party",,"Male","OK","2025-10-15 10:25:05"
"218 ","Mohsen Yasser Taha Youssef Al- Hizba","Badr Organization",,"Male","OK","2025-10-15 10:25:05"
"271 ","Mustafa Hamza Abdul Radam Al- Matrawi","Services Alliance",,"Male","OK","2025-10-15 10:25:05"
"221 ","Rafel Mohammed Ahmed Haseer N Al-Akeedi","National Sovereignty Alliance - Le- gislation",,"   female
 ","OK","2025-10-15 10:25:05"
"269 ","Razzaq Mukhalaf Ali Hasir N Al-Masari","National res- olution",,"Male","OK","2025-10-15 10:25:05"
"202 ","Riyadh Muhammad Hasan Akab Al-Hasthan Y","Sadiqun Movement",,"Male","OK","2025-10-15 10:25:05"
"239 ","Saad Ibrahim Talib, Sultani Dialo- gue","Sumerian movement",,"Male","OK","2025-10-15 10:25:05"
"231 ","Visions of Ali Muhammad Ali Darw- ish Al-Lami","National State Forces Alliance",,"   female
 ","OK","2025-10-15 10:25:05"
"221 ","Youssef Mu'ayyad Hasir N Fay- yad Al-Badranani","National Sovereignty Alliance - Le- gislation",,"Male","OK","2025-10-15 10:25:05"
"269 ","Ahmed Ibrahim Haseer N Moh- ammed Al-Takrithri","National res- olution",,"Male","OK","2025-10-15 10:25:05"
"224 ","Ahmed Marzouq Salal Mohammed Al-Hassani","Good news, Iraq",,"Male","OK","2025-10-15 10:25:05"
"240 ","Ahmed Mohammed Abdullah Saleh Al- Khatani","National masses",,"Male","OK","2025-10-15 10:25:05"
"286 ","Bashar Abdul Karim Atallah Khadhn- hamid","Civilians",,"Male","OK","2025-10-15 10:25:05"
"221 ","Bashir Ahmed kneeling on me, the narrator","National Sovereignty Alliance - Le- gislation",,"Male","OK","2025-10-15 10:25:05"
"231 ","Batoul Fawzi Hasiran Alwan Shikhanni","National State Forces Alliance",,"   female
 ","OK","2025-10-15 10:25:05"
"252 ","Fatima Salman Zubari Salem Al-Zarkanani","Design Alliance",,"   female
 ","OK","2025-10-15 10:25:05"
"257 ","Haitham Mohammed Kazim Mansi Al-Jabouri","State of Law Coalition",,"Male","OK","2025-10-15 10:25:05"
"252 ","Hamed Abdel-Hassir Muhammad Abtan Al- Hassir","Design Alliance",,"Male","OK","2025-10-15 10:25:05"
"269 ","Hanir N Abdul Karim Hasir N Jarbi'ah","National res- olution",,"   female
 ","OK","2025-10-15 10:25:05"
"271 ","Hasir N Mazharna Sahrha N Al- Awidi","Services Alliance",,"Male","OK","2025-10-15 10:25:05"
"259 ","Hasir N Nima Muhsin Kadhim Dha- bahawi","National Depth Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"225 ","Hassan Ahmed Sirr Yif Moha- mmed Amir N","Stand Group",,"Male","OK","2025-10-15 10:25:05"
"289 ","Hoda Hadi, taste of Damis Al-Hamdani","State Support Bloc",,"   female
 ","OK","2025-10-15 10:25:05"
"202 ","I am very sad about Hafez Muhammad Al- Zirjawi","Sadiqun Movement",,"Male","OK","2025-10-15 10:25:05"
"221 ","Ibtihal Mohsen Anoud Hasir N Al-Daithan Y","National Sovereignty Alliance - Le- gislation",,"   female
 ","OK","2025-10-15 10:25:05"
"241 ","Imad Hamid Shihan Hasirn Al- Janani","Azm Iraq Alliance",,"Male","OK","2025-10-15 10:25:05"
"278 ","Ismail Ahmed Haseer N Moh- ammed","Kurdistan Islamic Union",,"Male","OK","2025-10-15 10:25:05"
"221 ","Jamal Khadir Mohammed Ah- med Al-Hamdani","National Sovereignty Alliance - Le- gislation",,"Male","OK","2025-10-15 10:25:05"
"242 ","Jumaa Muhammad Awad Mu- hammad al-Hablani","Leadership",,"Male","OK","2025-10-15 10:25:05"
"245 ","Malik Diab Salman Shamjan Y Al- Zaidi","Canon's secr- ets",,"Male","OK","2025-10-15 10:25:05"
"252 ","Mazen and technician Jawad Mo- hammed Al Majed","Design Alliance",,"Male","OK","2025-10-15 10:25:05"
"207 ","Mohammed Abdullah Khalil Ib- rahim Radithin Y","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"231 ","Mohammed Abdul-Ridha Jassim Ali Al- Nouri","National State Forces Alliance",,"Male","OK","2025-10-15 10:25:05"
"204 ","Mohammed Hasiran Ali Khalil Al-Jubouri","Iraqi Alliance, Kirkuk",,"Male","OK","2025-10-15 10:25:05"
"269 ","Mohammed Jassab Rashid Kataa Al-Zarkanani","National res- olution",,"Male","OK","2025-10-15 10:25:05"
"244 ","Mohammed KhalafAbbas Ta- moul Al-Atwani","Al-Arafri Foun- dation Coalition",,"Male","OK","2025-10-15 10:25:05"
"250 ","Mohammed Sabah Hassan Khalifa Al- Jumaili","Alternative Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"207 ","Mu'ayyad Farhan Muhammad Hasiran al-Tamimi","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"271 ","Muhammad Jabbar, the owner of Attia Al-Awidi","Services Alliance",,"Male","OK","2025-10-15 10:25:05"
"224 ","Mustafa Najm Abdullah Sarr Y Al- Tamimi","Good news, Iraq",,"Male","OK","2025-10-15 10:25:05"
"269 ","Muththan Hilal Al-Karji Sahab Al- Obaidi","National res- olution",,"Male","OK","2025-10-15 10:25:05"
"244 ","Nadia Jabbar Karim, honey, my sweetheart","Al-Arafri Foun- dation Coalition",,"   female
 ","OK","2025-10-15 10:25:05"
"205 ","Names of Osama Abdul Rah- man Obaid Al-Anani","Anbar is our identity",,"female
 ","OK","2025-10-15 10:25:05"
"218 ","Qusay Abbas Muhammad Hasiran al- Hasiran","Badr Organization",,"Male","OK","2025-10-15 10:25:05"
"250 ","Rabha Qasim KhafifTamoul Al-Dhaifn Y","Alternative Allia- nce",,"   female
 ","OK","2025-10-15 10:25:05"
"244 ","Riyadh Muhammad Mohsen Sarr in Al-Shar in","Al-Arafri Foun- dation Coalition",,"Male","OK","2025-10-15 10:25:05"
"250 ","Saadoun Jaber Hawassir N Al-Kaathi","Alternative Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"244 ","Salman Kazim Abdul Redha Na- eem Al-Jirn I am","Al-Arafri Foun- dation Coalition",,"Male","OK","2025-10-15 10:25:05"
"207 ","Shaima Mahmoud Ali Karim Al-Hamir I am","Reconstruction and Development Coali- tion",,"   female
 ","OK","2025-10-15 10:25:05"
"207 ","Share with Raheefkadhim Mo- hammed Al-Hassani","Reconstruction and Development Coali- tion",,"   female
 ","OK","2025-10-15 10:25:05"
"224 ","Sky Jassim Hamadi Hassan Al-Matfar Y","Good news, Iraq",,"   female
 ","OK","2025-10-15 10:25:05"
"207 ","Taleb Khalil Rahi Hasir N al-Yasari","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"241 ","The specter of a sad student, Nikazem Bathin Ya Hassan","Azm Iraq Alliance",,"Male","OK","2025-10-15 10:25:05"
"250 ","Walid Rasn Y Jalibakshish Al- Akeili","Alternative Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"244 ","Yasmine N Ayad Abdul Karim Haider Nour- allah","Al-Arafri Foun- dation Coalition",,"   female
 ","OK","2025-10-15 10:25:05"
"224 ","Yasser N Haseer N Sirr Y Hassan Al Batat","Good news, Iraq",,"Male","OK","2025-10-15 10:25:05"
"259 ","Zahra Kazim Hassan Saleh Bat- hin Y Saad","National Depth Allia- nce",,"   female
 ","OK","2025-10-15 10:25:05"
"202 ","Zaid Jamal Dawood Muhammad Al-Kanani","Sadiqun Movement",,"Male","OK","2025-10-15 10:25:05"
"231 ","Abdul Haseer N Badai Moghtadh, the work of Naie Al-Batbouti","National State Forces Alliance",,"Male","OK","2025-10-15 10:25:05"
"271 ","Abdul Namir Safni, you are a fool","Services Alliance",,"Male","OK","2025-10-15 10:25:05"
"269 ","Adel Sadiq Jamil Aftan Al-Husaythan Y","National res- olution",,"Male","OK","2025-10-15 10:25:05"
"202 ","Ahmed Hassan Rahi Hasir N Al-Abdullah","Sadiqun Movement",,"Male","OK","2025-10-15 10:25:05"
"202 ","Ahmed Shihab Ahmed Must- afa Al-Rubaie","Sadiqun Movement",,"Male","OK","2025-10-15 10:25:05"
"259 ","Akram Aziznoor Rahmoud Al Ya- sser","National Depth Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"251 ","Ali Abdulzahra Matar Muham- mad Al-Arasani","Rights Movement",,"Male","OK","2025-10-15 10:25:05"
"241 ","Ali Ahmed MaktoufAlwan Al-Farrani","Azm Iraq Alliance",,"Male","OK","2025-10-15 10:25:05"
"207 ","Amal Marai Hassan Mohammed Al-Bayanri","Reconstruction and Development Coali- tion",,"   female
 ","OK","2025-10-15 10:25:05"
"221 ","Amany Abdul Jalil Shia Joda Al- Rukani","National Sovereignty Alliance - Le- gislation",,"   female
 ","OK","2025-10-15 10:25:05"
"202 ","Asaad Fadel, may God have mercy on my family","Sadiqun Movement",,"Male","OK","2025-10-15 10:25:05"
"290 ","Bushra Abdul-Ridha Musa Hasir N Musa","Nineveh First All- iance",,"female
 ","OK","2025-10-15 10:25:05"
"209 ","Dear Jassim Muhammad Qarboun Al-Ja'bawi,","Rescuers",,"Male","OK","2025-10-15 10:25:05"
"207 ","Fouad Kazim Abdul-Sada Aqla Al- Hassani","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"275 ","Good news, Karim Hamad Amir N Muhammad Qarah- sanj","Kurdistan Democratic Pa- rner",,"   female
 ","OK","2025-10-15 10:25:05"
"205 ","Hadeel Khalaf Saleh Askar Al- Hardani","Anbar is our identity",,"female
 ","OK","2025-10-15 10:25:05"
"255 ","Haifa Kader Gerges Hasir N Al Sha- msi","Progress Party",,"   female
 ","OK","2025-10-15 10:25:05"
"231 ","Hamza Jawad Kadhim Abdul Ka- lani","National State Forces Alliance",,"Male","OK","2025-10-15 10:25:05"
"244 ","Hashem Mohammed Salboukh Zid- ane Bathin Y Rakab","Al-Arafri Foun- dation Coalition",,"Male","OK","2025-10-15 10:25:05"
"333 ","Hasir N Mehdi Janani Mo- hammad Malek Shah","Sheikh Hasir N Janni Al-Malekshahi Al-Fayli",,"Male","OK","2025-10-15 10:25:05"
"252 ","Hasirn Nasser Amdehli Hassan Al-Yin Azna","Design Alliance",,"Male","OK","2025-10-15 10:25:05"
"224 ","Hazem Jawad Kazim Daw- ood Al-Faranari","Good news, Iraq",,"Male","OK","2025-10-15 10:25:05"
"207 ","Hind Hatem Ali Jassim Al- Mashhadani","Reconstruction and Development Coali- tion",,"   female
 ","OK","2025-10-15 10:25:05"
"252 ","Hisham Abdul Ali Abdul Hassan Mohammed Al- Mutawwari","Design Alliance",,"Male","OK","2025-10-15 10:25:05"
"244 ","Hisham Katie Saleh Jananani Al-Asadi","Al-Arafri Foun- dation Coalition",,"Male","OK","2025-10-15 10:25:05"
"244 ","Ibtisam Hasir N Khamis Marhej Al-Kanani","Al-Arafri Foun- dation Coalition",,"   female
 ","OK","2025-10-15 10:25:05"
"221 ","Ihab Ibrahim Khadir Abdul Ka- rtanni","National Sovereignty Alliance - Le- gislation",,"Male","OK","2025-10-15 10:25:05"
"250 ","In the name of Ali Abdul- Sada Khadir Al-Zarfani","Alternative Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"269 ","Janan Mohsen Tahsir N Hasir N Al-Bayanri","National res- olution",,"   female
 ","OK","2025-10-15 10:25:05"
"207 ","Jassim Mohammed Hasirn Aswad Al Asw- adku","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"230 ","Malik Abdulhassin Jassim Tha- mer","Al-Arafari Al-Ithar Party",,"Male","OK","2025-10-15 10:25:05"
"207 ","Mamoul Abdul Rahman Jameel Dar- wish Al-Nisani","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"275 ","Marwan Hassan Haseer N Ah- med Al-Atroser Y","Kurdistan Democratic Pa- rner",,"Male","OK","2025-10-15 10:25:05"
"255 ","Mohammed Jassim Haseer N Ha- mad Al-Mashhadani","Progress Party",,"Male","OK","2025-10-15 10:25:05"
"231 ","Mohammed Obaid Jassim Thuwaythin Y Al-Kharifawi","National State Forces Alliance",,"Male","OK","2025-10-15 10:25:05"
"231 ","Muhammad Mahdi, the owner ofMu- hammad al-Hamdani","National State Forces Alliance",,"Male","OK","2025-10-15 10:25:05"
"218 ","Muthanna Abdul Bari Jassim Muhammad Al-Kanaan","Badr Organization",,"   female
 ","OK","2025-10-15 10:25:05"
"230 ","Muththan Hamid Majeed Kamar Al-Bayanri","Al-Arafari Al-Ithar Party",,"Male","OK","2025-10-15 10:25:05"
"269 ","Muththan Mansour KhalafMo- hammed Al-Mashhadani","National res- olution",,"Male","OK","2025-10-15 10:25:05"
"266 ","Nawaf Zidane KhalafLafni","Alliance of Excelle- nce",,"Male","OK","2025-10-15 10:25:05"
"241 ","Nouran Abdul Amir Ali Aki Mos Ban- dar","Azm Iraq Alliance",,"   female
 ","OK","2025-10-15 10:25:05"
"240 ","Omar Mohammed Ali Jassim Moham- med Al-Matyouni","National masses",,"Male","OK","2025-10-15 10:25:05"
"244 ","Rabab Ali Muhaibis Safni Al-Askari","Al-Arafri Foun- dation Coalition",,"   female
 ","OK","2025-10-15 10:25:05"
"269 ","Radhab Hafez Hamid Haseer N Al-Tani","National res- olution",,"   female
 ","OK","2025-10-15 10:25:05"
"207 ","Riyadh Sayyad Hamadi Thuwaythin Y Al-Kabeer Y","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"250 ","Riyadh Younis Saad Shamjan Y Al- Saadi","Alternative Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"271 ","Safaa Kazim Mohammed Gh- ayi","Services Alliance",,"Male","OK","2025-10-15 10:25:05"
"251 ","Salwan Saad Jaber Hasir N Al-Shuwaili","Rights Movement",,"   female
 ","OK","2025-10-15 10:25:05"
"251 ","Samer Abdul Ali Haseer N Mohammed Al- Khafaji","Rights Movement",,"Male","OK","2025-10-15 10:25:05"
"241 ","Sanaa Yasser Faleh Shadhar Al- Rubaie","Azm Iraq Alliance",,"   female
 ","OK","2025-10-15 10:25:05"
"222 ","Sardar Fafari Mohammad Gh- aidan Qadir","Patriotic Union of Kurdistan",,"Male","OK","2025-10-15 10:25:05"
"281 ","Sardar Siamand Abdullah Ha- sir Balani","Nineveh People's Union",,"Male","OK","2025-10-15 10:25:05"
"241 ","Shaima Mahmoud Ali Abdel Rah- man","Azm Iraq Alliance",,"   female
 ","OK","2025-10-15 10:25:05"
"205 ","Shaker Mahmoud Obaid Haseer N Al- Issawi","Anbar is our identity",,"Male","OK","2025-10-15 10:25:05"
"201 ","Sher Bin Khalaf Suleiman Mahmoud Al-Samoufri","Yazidi Cause Alliance",,"   female
 ","OK","2025-10-15 10:25:05"
"202 ","The beds of Shahab Ahmed Abbas Al-Samarani","Sadiqun Movement",,"   female
 ","OK","2025-10-15 10:25:05"
"252 ","The secret of Salman Dakhil Hassan Al- Obaidi","Design Alliance",,"Male","OK","2025-10-15 10:25:05"
"224 ","Two prominent centers: Shaalan Laithi Al-Mira Ahmed","Good news, Iraq",,"   female
 ","OK","2025-10-15 10:25:05"
"202 ","Upon him, Faleh Awad Abbas Al-Emirate","Sadiqun Movement",,"female
 ","OK","2025-10-15 10:25:05"
"255 ","Ziad Mohammed Ahmed Sa- adoun Al-Hamdani","Progress Party",,"Male","OK","2025-10-15 10:25:05"
"222 ","A Paul MaroufAli Majid","Patriotic Union of Kurdistan",,"Male","OK","2025-10-15 10:25:05"
"207 ","Abdul-Ridha Abbas Hasiran Al-Khafaji pl- ows","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"289 ","Abdul-Ridha Ali Rasan, my beloved Sul- eiman","State Support Bloc",,"Male","OK","2025-10-15 10:25:05"
"201 ","Adham Murad Khosthri Ei- dwadi","Yazidi Cause Alliance",,"Male","OK","2025-10-15 10:25:05"
"207 ","Ahmed Abdel-Aaliy Nasser Hasir N Al-Yasiri","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"207 ","Ahmed Abdel-Hasir Nakazem Moham- med Mazra'a","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"259 ","Ahmed Khalkhal Ali Al-Muhammad Al- Shammari","National Depth Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"241 ","Ali Hashim Razofari Samir Al-Douri","Azm Iraq Alliance",,"Male","OK","2025-10-15 10:25:05"
"218 ","Ali Laithi, the blessing of the Di- wan of Al-Baydani","Badr Organization",,"Male","OK","2025-10-15 10:25:05"
"207 ","Ammar Abdul Wahab Abdul Ha- kim Musa Al-Sawafni","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"257 ","Ammaratheer Mohammed Wahid Rajih Al-Marzoufri","State of Law Coalition",,"Male","OK","2025-10-15 10:25:05"
"224 ","Aref Abdul Karim Ali Hasir N Al Ain Ni","Good news, Iraq",,"Male","OK","2025-10-15 10:25:05"
"222 ","Atta Abdullah Saleh Hamamir N","Patriotic Union of Kurdistan",,"Male","OK","2025-10-15 10:25:05"
"269 ","Aws Raad Makki Mujbil Al- Hayyanni","National res- olution",,"Male","OK","2025-10-15 10:25:05"
"275 ","Dana R. Abdul Ghaffar Aziz Mam Fafr","Kurdistan Democratic Pa- rner",,"Male","OK","2025-10-15 10:25:05"
"207 ","Fanarkhair, Hanoun Abdel Taher","Reconstruction and Development Coali- tion",,"female
 ","OK","2025-10-15 10:25:05"
"269 ","Ghassan Mohammed Ibrahim Mo- hammed Al-Hamdani","National res- olution",,"Male","OK","2025-10-15 10:25:05"
"250 ","Good morning, Mahmoud Ahmed Al-Mashhadani","Alternative Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"224 ","Hasirn Abdul Amir Zboon Moha- mmed Al-Hashemi","Good news, Iraq",,"Male","OK","2025-10-15 10:25:05"
"218 ","Hasirn Nashed Saad Ma- rah","Badr Organization",,"Male","OK","2025-10-15 10:25:05"
"250 ","I feel sorry for Mohsen Abdul Ghar- ani","Alternative Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"224 ","Ibrahim Aliwi Hasir N Madhboub Al-Zarfani","Good news, Iraq",,"Male","OK","2025-10-15 10:25:05"
"207 ","Issam Arif Hamza Khalifa Al- Safrani","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"218 ","Jawad Kazem Abbas Hiyal Ei- dani","Badr Organization",,"Male","OK","2025-10-15 10:25:05"
"240 ","Karam Aziz Khudair Ahmed Al- Hayani","National masses",,"Male","OK","2025-10-15 10:25:05"
"250 ","Karar Muhammad Reza Ali Ka- zim Mard","Alternative Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"211 ","Mahmoud Ibrahim Ali Hasir N Al-Hamasir Y","National identity",,"Male","OK","2025-10-15 10:25:05"
"236 ","Malik Murad Shanni Aja Al Ha- mrani","Al-Omran Party",,"Male","OK","2025-10-15 10:25:05"
"255 ","Mohammed Abdul Rahman Jawad Mohammed Al-Mashhadani","Progress Party",,"Male","OK","2025-10-15 10:25:05"
"252 ","Mohammed Hamid Mohsen Ha- fez Bathin Y Rakab","Design Alliance",,"Male","OK","2025-10-15 10:25:05"
"240 ","Mohammed Hammadi Yasser N Mahm- oud Al-Jabouri","National masses",,"Male","OK","2025-10-15 10:25:05"
"205 ","Mohammed Muhand Jassim Mohammed Amir N Al-Anani","Anbar is our identity",,"Male","OK","2025-10-15 10:25:05"
"251 ","Muhammad Abdul-Hasir N. Rahima Su- bhan Al-Fartousi","Rights Movement",,"Male","OK","2025-10-15 10:25:05"
"207 ","Muhammad Khaled Hassounni Shalal Al-Baalawi","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"257 ","Murtazan Abdul Ali Jassim Mo- hammed Al-Yasiri","State of Law Coalition",,"Male","OK","2025-10-15 10:25:05"
"230 ","Mustafa Sarhan Halawasan Al- Zamili","Al-Arafari Al-Ithar Party",,"Male","OK","2025-10-15 10:25:05"
"201 ","Nadia Hajji Shamwasn Y","Yazidi Cause Alliance",,"   female
 ","OK","2025-10-15 10:25:05"
"222 ","Nahla Mohammed Saeed Mo- hammed Bebanan","Patriotic Union of Kurdistan",,"   female
 ","OK","2025-10-15 10:25:05"
"221 ","Nihad Salama Abdul Majeed Saeed Al- Bayanri","National Sovereignty Alliance - Le- gislation",,"Male","OK","2025-10-15 10:25:05"
"244 ","Nour Saad Mahmoud Hasirn Al- Mulla","Al-Arafri Foun- dation Coalition",,"Male","OK","2025-10-15 10:25:05"
"269 ","Omar Habib Abdul Razzaq Habib Al-Anani","National res- olution",,"Male","OK","2025-10-15 10:25:05"
"255 ","Omar Khadn Abdulaziz Hasir N Al-Douri","Progress Party",,"Male","OK","2025-10-15 10:25:05"
"207 ","Please, please, please, please, pl- ease, please, please, please","Reconstruction and Development Coali- tion",,"female
 ","OK","2025-10-15 10:25:05"
"245 ","Rahim Samir Abdul Kassar Al Kas- sar","Canon's secr- ets",,"Male","OK","2025-10-15 10:25:05"
"250 ","Rana Ahmed Nasser Haseer N Sheikh","Alternative Allia- nce",,"   female
 ","OK","2025-10-15 10:25:05"
"252 ","Rana Asghar Mohammad Tafar Moham- mad Nawab Mirza","Design Alliance",,"female
 ","OK","2025-10-15 10:25:05"
"207 ","Ruqayyah Fadhel Issa Mahmoud Al- Hamdani","Reconstruction and Development Coali- tion",,"   female
 ","OK","2025-10-15 10:25:05"
"275 ","Sakargazi Mohammad Ali Hamd- amiren","Kurdistan Democratic Pa- rner",,"   female
 ","OK","2025-10-15 10:25:05"
"259 ","Saleh Mohsen Alwan Hasir N Al-Hasthan Y","National Depth Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"207 ","Samia Najm Abdul Farhan Al- Qarani","Reconstruction and Development Coali- tion",,"   female
 ","OK","2025-10-15 10:25:05"
"264 ","Sara Abdelhassir N Obaid Mo- hammed Al-Tamimi","National Pioneers Movement",,"   female
 ","OK","2025-10-15 10:25:05"
"221 ","Thunder Sirr Han Faza Saeed Al- Karjan Y","National Sovereignty Alliance - Le- gislation",,"Male","OK","2025-10-15 10:25:05"
"264 ","Wissam Nasser Abdul Haseer n Jaafr- asdi","National Pioneers Movement",,"Male","OK","2025-10-15 10:25:05"
"244 ","Yasir Abbas Ali Khadna- ltani","Al-Arafri Foun- dation Coalition",,"Male","OK","2025-10-15 10:25:05"
"240 ","Zahraa Abdul Zainal Has- eer N Al-Tani","National masses",,"   female
 ","OK","2025-10-15 10:25:05"
"202 ","Zainab Juma Hasir Salman Al- Sudani","Sadiqun Movement",,"   female
 ","OK","2025-10-15 10:25:05"
"218 ","Abbas Ali Hadi Kh- adhan","Badr Organization",,"Male","OK","2025-10-15 10:25:05"
"271 ","Abdul Karim Kamil Hamid Issa Al-Alwani","Services Alliance",,"Male","OK","2025-10-15 10:25:05"
"207 ","Abdulkadhim Karim Jalil Habib Al-Kanani","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"207 ","Adel Hashem Manjan Y Abdul Sayed Al-Aboudi","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"207 ","Ahlam Haider Baqir Ali Al-Husaythan Y","Reconstruction and Development Coali- tion",,"   female
 ","OK","2025-10-15 10:25:05"
