A,Name on ballot,Candidate Sequence,Unnamed: 3,Type Nominat- ion,Electoral district,Unnamed: 6,Sex,Candidate's full name,Voter number,Sex_raw
224,"Good news, Iraq",19,,Alliance,Babylon,,Male,Qusay Hatem Aziz Alwan,1997,Male
224,"Good news, Iraq",20,,Alliance,Babylon,,Female,Basheera Hassan Majeed Hassoun Al-Har,1998,female
224,"Good news, Iraq",21,,Alliance,Babylon,,Male,Hussam Mohammed Ibrahim Khadir Al-Mamouri,1999,Male
224,"Good news, Iraq",22,,Alliance,Babylon,,Male,Haider Khadir Abbas Ali Azzawi,2000,Male
224,"Good news, Iraq",23,,Alliance,Babylon,,Male,Abbas Jassim Habib Zaheratijawi,2001,Male
224,"Good news, Iraq",24,,Alliance,Babylon,,Female,Flower of Hasir N Ali Ab- bas Al-Himir Y,2002,female
224,"Good news, Iraq",25,,Alliance,Babylon,,Male,Thamer Maksad Hamza Mughid Al-Maamouri,2003,Male
224,"Good news, Iraq",26,,Alliance,Babylon,,Male,Ali Fadhel Abbas Mutab Al-Rubaie,2004,Male
224,"Good news, Iraq",27,,Alliance,Babylon,,Female,Hadeel Qusay Khudair Mohammed Al-Zubaidi,2005,female
224,"Good news, Iraq",28,,Alliance,Babylon,,Female,Shaima Aziz Hamdan Ali Ajeel,2006,female
224,"Good news, Iraq",29,,Alliance,Babylon,,Male,Haider Abdul Muttalib Hassan Abbas Rawashdi,2007,Male
224,"Good news, Iraq",30,,Alliance,Babylon,,Male,"Saif Arkan, the owner of the Al-Jabouri tribe",2008,Male
224,"Good news, Iraq",31,,Alliance,Babylon,,Male,Ali Khaled Karim Hasir Al- Jabouri,2009,Male
224,"Good news, Iraq",32,,Alliance,Babylon,,Female,Nias Fahd Haseer N Saber Majed,2010,female
224,"Good news, Iraq",33,,Alliance,Babylon,,Male,Nimir Shaker Abdul Haseen Khadhn Al Shabany,2011,Male
224,"Good news, Iraq",34,,Alliance,Babylon,,Male,Khaled Kamel Abdel-Hassan Hamza Al- Maamouri,2012,Male
231,National State Forces Alliance,1,,Alliance,Babylon,,Male,Hassan Faddam Asal Hasirn Al Janani,2013,Male
231,National State Forces Alliance,2,,Alliance,Babylon,,Male,Riyadh Aday Aboud Tamim Al-Khafaji,2014,Male
231,National State Forces Alliance,3,,Alliance,Babylon,,Male,Asaad Munim Abdul-Kazem Mutak Al-Muslimawi,2015,Male
231,National State Forces Alliance,4,,Alliance,Babylon,,Male,Hassan Mandeel Abdullah Hamza Al-Shiawi,2016,Male
231,National State Forces Alliance,5,,Alliance,Babylon,,Female,Rafala Rasn Y Abdul Karim Nidal Al-Jahisr Y,2017,female
231,National State Forces Alliance,6,,Alliance,Babylon,,Female,Zainab Ismail Attia Hassan Al-Boubdry,2018,female
231,National State Forces Alliance,7,,Alliance,Babylon,,Male,Qasim Rahim Hamad Salman Al-Maamouri,2019,Male
231,National State Forces Alliance,8,,Alliance,Babylon,,Male,Omarta Madb Rashid Al-Janani,2020,Male
231,National State Forces Alliance,9,,Alliance,Babylon,,Male,Muhammad Majid Khalil Ibrahim al-Yassari,2021,Male
231,National State Forces Alliance,10,,Alliance,Babylon,,Male,Muhammad Baqir al-Salim Salih Mahdi al-Muslimawi,2022,Male
231,National State Forces Alliance,11,,Alliance,Babylon,,Female,Khatam Dawood Jalab Abdul-Ridha Al-Muhammadi,2023,female
231,National State Forces Alliance,12,,Alliance,Babylon,,Male,Mahdi Saadi Arethi Abdul Bouawad,2024,Male
231,National State Forces Alliance,13,,Alliance,Babylon,,Male,Ali Jassim Mohammed Hassan Al-Saadi,2025,Male
231,National State Forces Alliance,14,,Alliance,Babylon,,Male,Haider Karim Badawi Matar Al-Marshadi,2026,Male
231,National State Forces Alliance,15,,Alliance,Babylon,,Male,Aboud Taherzmat Jassim Al-Shathi,2027,Male
231,National State Forces Alliance,16,,Alliance,Babylon,,Female,Hamdia Abbas Mohammed Obaid Al-Husaythan Y,2028,female
231,National State Forces Alliance,17,,Alliance,Babylon,,Male,Zaid Suhail Najm Abdiyoub Al-Hasnawi,2029,Male
231,National State Forces Alliance,18,,Alliance,Babylon,,Male,Jaafar Alii Atshan Ashour Al- Ywann Y,2030,Male
231,National State Forces Alliance,19,,Alliance,Babylon,,Female,Khalida Hassan Diab Marzouq Al-Marshadi,2031,female
231,National State Forces Alliance,20,,Alliance,Babylon,,Male,Ahmed Jaafar Mohammed Ali Al- Waili,2032,Male
231,National State Forces Alliance,21,,Alliance,Babylon,,Male,Hassan Kazem Ali Mohsen Al-Awadil,2033,Male
231,National State Forces Alliance,22,,Alliance,Babylon,,Male,Ghawi Hamid Halawi Ghawi Al-Shaddah,2034,Male
231,National State Forces Alliance,23,,Alliance,Babylon,,Male,Adel Najm Abdel Nassar Al-Janani,2035,Male
231,National State Forces Alliance,24,,Alliance,Babylon,,Female,هديل كاظم طاهر حسيرن التميمیي,2036,female
231,National State Forces Alliance,25,,Alliance,Babylon,,Male,Ahmed Sami Mohammed Khadir Al-Masoudi,2037,Male
231,National State Forces Alliance,26,,Alliance,Babylon,,Female,Maysoun Saadi Sadiq Jabrshi,2038,female
231,National State Forces Alliance,27,,Alliance,Babylon,,Male,Rahim Abis Hassoun Mohammed Al-Khafaji,2039,Male
231,National State Forces Alliance,28,,Alliance,Babylon,,Female,Rasha Karim Kazem Jassim Aloush,2040,female
231,National State Forces Alliance,29,,Alliance,Babylon,,Male,Muhammad Ali Obaid KhalafAl-Maamouri,2041,Male
231,National State Forces Alliance,30,,Alliance,Babylon,,Male,"Sadiq Rasool Hassoun, may God bless you",2042,Male
231,National State Forces Alliance,31,,Alliance,Babylon,,Female,Zainab Ghazi Hamza Zahir Al-Alwani,2043,female
231,National State Forces Alliance,32,,Alliance,Babylon,,Male,Karar Raad Abdullah Aliwi Ramadan,2044,Male
231,National State Forces Alliance,33,,Alliance,Babylon,,Male,Muththan Razzaq Saleh Ismail Ismail,2045,Male
231,National State Forces Alliance,34,,Alliance,Babylon,,Male,Mohammed Abdul Sahib Abbas Hamza Al-Qassab,2046,Male
236,Al-Omran Party,1,,Party,Babylon,,Male,"Ahmed Akram Alwan, the Khaikani tarboush",2047,Male
236,Al-Omran Party,2,,Party,Babylon,,Female,Alia Haseer N Hashem Daw- ood Al-Shar Yifn Y,2048,female
236,Al-Omran Party,3,,Party,Babylon,,Male,Rafid Muhammad Hashim Hasiran Al- Araji,2049,Male
236,Al-Omran Party,4,,Party,Babylon,,Female,Iman Mutasher Abdul Amish Al-Janani,2050,female
236,Al-Omran Party,5,,Party,Babylon,,Male,Peace be upon you Hamza Sarrar YfZghair Al-Saeedi,2051,Male
236,Al-Omran Party,6,,Party,Babylon,,Male,Mustafa Faris Shakarmir N Awad,2052,Male
236,Al-Omran Party,7,,Party,Babylon,,Male,Ahmed Jassim Khalil Ibrahim Al-Kanani,2053,Male
236,Al-Omran Party,8,,Party,Babylon,,Female,Ikhlas Jassim Nouri Abboud Abboud,2054,female
236,Al-Omran Party,9,,Party,Babylon,,Male,Ghaith Jawad Kadhim Rasn Y Hamir Y,2055,Male
236,Al-Omran Party,10,,Party,Babylon,,Male,Abdul-Azim Abdul-Wahid Kazim Hamadi Al-Shukri,2056,Male
236,Al-Omran Party,11,,Party,Babylon,,Male,"Peace be upon you, Hamad Hamza Dharib Al-Bujassim",2057,Male
238,Lieutenant Colonel Ali Abbas Jassim Al-Sultani,1,,Pe- rson,Babylon,,Male,Ali Abbas Jassim Ali Al-Sultani,2058,Male
239,Sumerian movement,1,,Party,Babylon,,Male,Nazim Mohammad Dovej Jabralassadi,2059,Male
239,Sumerian movement,2,,Party,Babylon,,Male,"Hassan Hamza Abdullah Ibrahim, leftist",2060,Male
239,Sumerian movement,3,,Party,Babylon,,Male,Blessing of Zghair Abbas Kadhim Al-Khashkhasir Y,2061,Male
239,Sumerian movement,4,,Party,Babylon,,Female,Abeer Jaidan KhalafSahi Al-Azzawi,2062,female
239,Sumerian movement,5,,Party,Babylon,,Male,Ahmed Yasser Hasirn Abdul Hassan Al-Jabouri,2063,Male
239,Sumerian movement,6,,Party,Babylon,,Male,Miqdaam Yasarabidoon Nasir al-Nasir,2064,Male
239,Sumerian movement,7,,Party,Babylon,,Male,Ali Jassim Ali Abdul Ali Al Mansouri,2065,Male
239,Sumerian movement,8,,Party,Babylon,,Female,Inas Amer Abbas Ali Al-Bajou,2066,female
239,Sumerian movement,9,,Party,Babylon,,Male,"Ali Abdel Sattar Muhammad Arzij, the leftist",2067,Male
239,Sumerian movement,10,,Party,Babylon,,Male,Hasirn Abdul-Ridha Jawad Aboud Al-Haluj,2068,Male
239,Sumerian movement,11,,Party,Babylon,,Male,Ahmed Attia Dakhil Abbas Al-Tani,2069,Male
239,Sumerian movement,12,,Party,Babylon,,Female,The voice of Jasib Majeed Hajim Al-Qattan,2070,female
239,Sumerian movement,13,,Party,Babylon,,Male,Hazem Kazim Mal Allah Hashem Al-Issawi,2071,Male
239,Sumerian movement,14,,Party,Babylon,,Male,Hakim Zaid Suwadi Ajrash Najidi,2072,Male
239,Sumerian movement,15,,Party,Babylon,,Male,Khaled Rahim Kazim Al-Khashan Al-Jabouri,2073,Male
239,Sumerian movement,16,,Party,Babylon,,Female,Waiting for Muslim Hasir Saleh Al-Jubouri,2074,female
239,Sumerian movement,17,,Party,Babylon,,Male,Wassim Abdul Ali Najm Aboud Al-Badr,2075,Male
239,Sumerian movement,18,,Party,Babylon,,Male,"Saad Ibrahim Talib, Sultani Dialo- gue",2076,Male
239,Sumerian movement,19,,Party,Babylon,,Male,Latif Murad Hudhud Sultan Al Hudhud,2077,Male
239,Sumerian movement,20,,Party,Babylon,,Female,Dunya Farhan Hasir N Aboud Abu Tayef,2078,female
239,Sumerian movement,21,,Party,Babylon,,Male,Mahdi Abdul Amir Ismail Hamad Al-Tufaili,2079,Male
239,Sumerian movement,22,,Party,Babylon,,Male,Thamer Shaker Jassim Zalukh Al-Jabouri,2080,Male
239,Sumerian movement,23,,Party,Babylon,,Male,Thaerris Dawood Abdullah Al-Maamouri,2081,Male
239,Sumerian movement,24,,Party,Babylon,,Female,Bashayer Hashim Abdul Wahid Yasser Al-Yasseri,2082,female
239,Sumerian movement,25,,Party,Babylon,,Male,Mohammed Kamel Muzal Najm Al-Masoudi,2083,Male
239,Sumerian movement,26,,Party,Babylon,,Male,Jawad Kazem Falah Hasir N Al- Taroudawi,2084,Male
239,Sumerian movement,27,,Party,Babylon,,Male,The ugly Hamid Kazim Hasir N Al-Kalani,2085,Male
239,Sumerian movement,28,,Party,Babylon,,Female,Shahla Fawzi Talib Abbud Al-Alwani,2086,female
239,Sumerian movement,29,,Party,Babylon,,Male,Ayman Kamil Hashim Kazim Al-Anawi,2087,Male
239,Sumerian movement,30,,Party,Babylon,,Male,Barq Khaled Jaryan Dikan Al-Jarisi,2088,Male
239,Sumerian movement,31,,Party,Babylon,,Male,Faris Musab Abdul Abbas Darwish Al-Jabouri,2089,Male
239,Sumerian movement,32,,Party,Babylon,,Female,Aseel Khalif Rashid Jassim Al-Mousawi,2090,female
239,Sumerian movement,33,,Party,Babylon,,Male,Thabet Jawad Kadhim Hasiran Al- Jabouri,2091,Male
239,Sumerian movement,34,,Party,Babylon,,Female,Lamia Jabbar Habboub Saddam Al-Shammari,2092,female
244,Al-Arafri Foun- dation Coalition,1,,Alliance,Babylon,,Male,I feel sorry for Hassan Reda Al-Saeedi,2093,Male
244,Al-Arafri Foun- dation Coalition,2,,Alliance,Babylon,,Male,Hamza Jabbar Harni Mohammed Al- Jabouri,2094,Male
244,Al-Arafri Foun- dation Coalition,3,,Alliance,Babylon,,Male,Adi Arkan Abbas Naaman Al-Awidi,2095,Male
244,Al-Arafri Foun- dation Coalition,4,,Alliance,Babylon,,Male,Issam Fakhri Bartouaid Al-Shammari,2096,Male
244,Al-Arafri Foun- dation Coalition,5,,Alliance,Babylon,,Male,Ahmed Badrjasem Hasirn Al-Zarir,2097,Male
244,Al-Arafri Foun- dation Coalition,6,,Alliance,Babylon,,Female,Ekram Kamel Zahir Mohsen Al-Muhten,2098,female
244,Al-Arafri Foun- dation Coalition,7,,Alliance,Babylon,,Male,Maytham Abdul Jassim Abdul Hamza Kazim Al-Shukri,2099,Male
244,Al-Arafri Foun- dation Coalition,8,,Alliance,Babylon,,Female,Farah Ahmed Kamel Darb Al- Nafie,2100,female
244,Al-Arafri Foun- dation Coalition,9,,Alliance,Babylon,,Male,Muhammad Jawad Abdul-Kadhim Ashkah Anf- oos,2101,Male
244,Al-Arafri Foun- dation Coalition,10,,Alliance,Babylon,,Male,"Regretfully, Nafl Hassan Aboud Al-Jaheesir Y",2102,Male
244,Al-Arafri Foun- dation Coalition,11,,Alliance,Babylon,,Male,Hasir NakamulNaji Mu'idi Al-Maamouri,2103,Male
244,Al-Arafri Foun- dation Coalition,12,,Alliance,Babylon,,Male,Hamid Hamza Kazim Masir Masir,2104,Male
244,Al-Arafri Foun- dation Coalition,13,,Alliance,Babylon,,Female,Ibtisam Hassan Diab Marzouq Al-Marshadi,2105,female
244,Al-Arafri Foun- dation Coalition,14,,Alliance,Babylon,,Female,Aseel Khaled Abdul Mohammed Al-Kafli,2106,female
244,Al-Arafri Foun- dation Coalition,15,,Alliance,Babylon,,Male,Muhammad Hadi Kazim Jawad al-Jazaery,2107,Male
244,Al-Arafri Foun- dation Coalition,16,,Alliance,Babylon,,Male,"Peace be upon you, Abdul-Kazem Abdullah Abdul-Hassan Al-Jubouri",2108,Male
244,Al-Arafri Foun- dation Coalition,17,,Alliance,Babylon,,Male,Thaer Abdul Latif Abdul Hamid Ali Al-Azzawi,2109,Male
244,Al-Arafri Foun- dation Coalition,18,,Alliance,Babylon,,Female,Zahra Mohammed Saud Aziz Al-Tamimi,2110,female
244,Al-Arafri Foun- dation Coalition,19,,Alliance,Babylon,,Male,Marza Hamza Abdulma'ir N Hilal Al-Janani,2111,Male
244,Al-Arafri Foun- dation Coalition,20,,Alliance,Babylon,,Male,Omar Khadir Baskar Al-Janani,2112,Male
244,Al-Arafri Foun- dation Coalition,21,,Alliance,Babylon,,Female,Zainab Abbas Ali Latif Al-Ridhawi,2113,female
244,Al-Arafri Foun- dation Coalition,22,,Alliance,Babylon,,Male,Zuhair Abbas Abboud Razofari Mashtat,2114,Male
244,Al-Arafri Foun- dation Coalition,23,,Alliance,Babylon,,Female,Alaa Abdel-Kazem Abbas Mohammed Al-Husseinawi,2115,female
244,Al-Arafri Foun- dation Coalition,24,,Alliance,Babylon,,Male,Ghaith Ali Samisim Obaid Al-Buaisi,2116,Male
244,Al-Arafri Foun- dation Coalition,25,,Alliance,Babylon,,Male,Yasser Omar Saber Mohsen Al Shamri,2117,Male
244,Al-Arafri Foun- dation Coalition,26,,Alliance,Babylon,,Male,Karim Saad Hasirn Lotan Al-Kreish,2118,Male
244,Al-Arafri Foun- dation Coalition,27,,Alliance,Babylon,,Female,The call of Talib Mohsen Thajib Al-Ajili,2119,female
244,Al-Arafri Foun- dation Coalition,28,,Alliance,Babylon,,Female,Names of Hasiran Jdou' Kazem Abb- oud,2120,female
244,Al-Arafri Foun- dation Coalition,29,,Alliance,Babylon,,Male,Zuhair JawadNaji Abbas Al-Shabil,2121,Male
244,Al-Arafri Foun- dation Coalition,30,,Alliance,Babylon,,Male,Ahmed Salman Awda Briwal Shablawi,2122,Male
244,Al-Arafri Foun- dation Coalition,31,,Alliance,Babylon,,Male,Saud Hassan Juma Matar Al-Jahisi Y,2123,Male
245,Canon's secr- ets,1,,Party,Babylon,,Male,Hasir N Sahib Mahdi Bayanari Shop,2124,Male
245,Canon's secr- ets,2,,Party,Babylon,,Male,Haider Abdul-Amir Kazim Makshash Alak,2125,Male
245,Canon's secr- ets,3,,Party,Babylon,,Male,Haider Jawad Kazem Attia Al-Kadasawi,2126,Male
245,Canon's secr- ets,4,,Party,Babylon,,Male,Hamed Abdel Khadhan Abbas Hadi Al-Fatlawi,2127,Male
245,Canon's secr- ets,5,,Party,Babylon,,Male,Time Ali Musa Hassan Al-Jabouri,2128,Male
245,Canon's secr- ets,6,,Party,Babylon,,Male,Abbas Radam Hamad Sajam Al-Tufaili,2129,Male
245,Canon's secr- ets,7,,Party,Babylon,,Male,Mustafa Khalil NaseefJassim Al-Karawi,2130,Male
245,Canon's secr- ets,8,,Party,Babylon,,Female,Congratulations to Majid Felefel Kha- lifAl-Janani,2131,female
245,Canon's secr- ets,9,,Party,Babylon,,Male,Majeed Dahhan Salithi Janan Al-Arami,2132,Male
245,Canon's secr- ets,10,,Party,Babylon,,Male,Thaer Jassab Hassoun Mohammed Al-Jabouri,2133,Male
245,Canon's secr- ets,11,,Party,Babylon,,Female,Wafaa Talib Salman Kazem Atijawi,2134,female
245,Canon's secr- ets,12,,Party,Babylon,,Male,Ayad Suwad Obaidi Hasirn Al-Khashkhasir Y,2135,Male
245,Canon's secr- ets,13,,Party,Babylon,,Male,Firas Fadel Abbas Dhari Al-Masoudi,2136,Male
245,Canon's secr- ets,14,,Party,Babylon,,Male,Abdullah Hassan Haseer N Jawad Hamir Y,2137,Male
245,Canon's secr- ets,15,,Party,Babylon,,Female,Fatima Ashour Hamad Khawin Al-Awady,2138,female
245,Canon's secr- ets,16,,Party,Babylon,,Female,Khatam Suhail Obaidkomanni Nakhilawi,2139,female
245,Canon's secr- ets,17,,Party,Babylon,,Male,Thaer Omran Shadhan Hassoun Al-Janani,2140,Male
245,Canon's secr- ets,18,,Party,Babylon,,Male,Hadi Sajid Abdul Abbas Abdullah Al-Khafaji,2141,Male
245,Canon's secr- ets,19,,Party,Babylon,,Male,حيدر محمدحبيب مجيد حمادي السلامي,2142,Male
245,Canon's secr- ets,20,,Party,Babylon,,Female,Hala Wahid Ali Abbas Al- Khaikanni,2143,female
245,Canon's secr- ets,21,,Party,Babylon,,Female,Samarwahab Hashemkadhim Al-Husaythan Y,2144,female
245,Canon's secr- ets,22,,Party,Babylon,,Female,Israa Mazhar Obaid Ibrahim Al-Yassari,2145,female
245,Canon's secr- ets,23,,Party,Babylon,,Male,"Mushtaq Faisal Abdulsada, Al-Mansouri merchant",2146,Male
245,Canon's secr- ets,24,,Party,Babylon,,Male,حيدر محمدكاظم خضير عباس المطيري,2147,Male
245,Canon's secr- ets,25,,Party,Babylon,,Female,Amanni Ali Hasirn Aboud Mazidawi,2148,female
245,Canon's secr- ets,26,,Party,Babylon,,Male,Ali Mohsen Jijdoua Al-Harni,2149,Male
245,Canon's secr- ets,27,,Party,Babylon,,Male,Adi Ali Hasirn Farman Al- Tani,2150,Male
245,Canon's secr- ets,28,,Party,Babylon,,Male,Hamid Jassim Hamza Firas Al-Dulaimiyi,2151,Male
245,Canon's secr- ets,29,,Party,Babylon,,Male,Ahmed Yasser Dhiban Ali Al- Shafi'i,2152,Male
245,Canon's secr- ets,30,,Party,Babylon,,Female,مروة محمد كاظم جابر بنوش,2153,female
245,Canon's secr- ets,31,,Party,Babylon,,Male,Hello Javad Hamzeh Aniyalnafie,2154,Male
251,Rights Movement,1,,Party,Babylon,,Male,Sabah Kazem Shenit Khashan Al-Ajili,2155,Male
251,Rights Movement,2,,Party,Babylon,,Male,Ihsan Kamil Zarzib Hasiran Al- Jumaili,2156,Male
251,Rights Movement,3,,Party,Babylon,,Male,Razzaq Abdul-Amah Jassim Ghadhban Al-Haidari,2157,Male
251,Rights Movement,4,,Party,Babylon,,Female,Suhaila Abbas Hamza Hasirn Alkasmiyy,2158,female
251,Rights Movement,5,,Party,Babylon,,Male,"Thank you, Saleh Al-Khafaji",2159,Male
251,Rights Movement,6,,Party,Babylon,,Male,Mahmoud Hadikadhim Mohammed Yasi,2160,Male
251,Rights Movement,7,,Party,Babylon,,Male,Ali Hassan Hamza Hassoun Al-Bir Manni,2161,Male
251,Rights Movement,8,,Party,Babylon,,Female,Maysaa Abbas Haseer N Jassim Al-Mansouri,2162,female
251,Rights Movement,9,,Party,Babylon,,Male,"I am very sad, I am very happy",2163,Male
251,Rights Movement,10,,Party,Babylon,,Male,Muhammad Rasool Abdul Amir Rashid Al-Janani,2164,Male
251,Rights Movement,11,,Party,Babylon,,Male,Adi Abbas Abdul Amir Reda Al-Tourjawi,2165,Male
251,Rights Movement,12,,Party,Babylon,,Female,Majida Hamid Jassim Aqil Al-Jabouri,2166,female
251,Rights Movement,13,,Party,Babylon,,Male,Wasam Talib Obaid Abdullah Al-Zaghithi,2167,Male
251,Rights Movement,14,,Party,Babylon,,Male,"Mosquito profession, Lafta pro- fession, Zarkanani profession",2168,Male
251,Rights Movement,15,,Party,Babylon,,Male,Kararjuwad Hamza Khanyab Al-Khamasi,2169,Male
251,Rights Movement,16,,Party,Babylon,,Female,Rand Saad Abis Obaid Al-Maamouri,2170,female
251,Rights Movement,17,,Party,Babylon,,Male,احمد كاظم عطية مرزه الكدساوي,2171,Male
251,Rights Movement,18,,Party,Babylon,,Male,Qasim Mahdi Hamza Mahdi Al-Moussawi,2172,Male
251,Rights Movement,19,,Party,Babylon,,Male,Hussam Sajit Hassan Saleh Al-Salji,2173,Male
251,Rights Movement,20,,Party,Babylon,,Female,Maha Abdul Jawad Haseer N Al-Afithen Y,2174,female
251,Rights Movement,22,,Party,Babylon,,Male,Ahmed Talib Mahdi Ahmed Al-Ajili,2175,Male
251,Rights Movement,23,,Party,ولیيBabغylonن القره,,Male,محمد خدير,2176,حسMمaleعباس
251,Rights Movement,24,,Party,Babylon,,Female,Sahar Mehdi Shahid Shahab Shahab,2177,female
251,Rights Movement,25,,Party,Babylon,,Male,Watan Munir Ghaleb Has- san Al-Tasir Y,2178,Male
251,Rights Movement,26,,Party,Babylon,,Male,Mashriq Abdulrahman Abduljabbar Hasir N Le- banon,2179,Male
251,Rights Movement,27,,Party,Babylon,,Male,Abbas Farhoud Suwaif Manjal Al-Kalani,2180,Male
