رقم الاقتراع الحزب,الحزب,رقم الاقتراع للمرشح,ا نوع الترشيح,الدائرة الانتخابية,الجنس,إسم المرشح الكامل,الرقم
222,یەکێتی نیشتمانی کوردستان,29,حزب,اربيل,ذكر,كاروخ عبدالرحيم عزيزئومەر,33
222,یەکێتی نیشتمانی کوردستان,30,حزب,اربيل,انثى,سازگاردلشاد شفيق نادر,34
225,گروپی هەڵوێست,1,حزب,اربيل,ذكر,على حمه صالح طه محمد,35
225,گروپی هەڵوێست,2,حزب,اربيل,ذكر,ديارصالح حميد صالح المفثري,36
225,گروپی هەڵوێست,3,حزب,اربيل,ذكر,هيوا ادم ففر عولا خضن,37
225,گروپی هەڵوێست,4,حزب,اربيل,انثى,نادية زياد محمد سرريف بلباس,38
225,گروپی هەڵوێست,5,حزب,اربيل,ذكر,هيوا هادي نادر قادر,39
225,گروپی هەڵوێست,6,حزب,اربيل,ذكر,هونه ر عمراسماعيل محمد خوشناو,40
225,گروپی هەڵوێست,7,حزب,اربيل,ذكر,حسن احمد سرريف محمداميرن,41
225,گروپی هەڵوێست,8,حزب,اربيل,انثى,سندس على عباس علىي,42
225,گروپی هەڵوێست,9,حزب,اربيل,ذكر,شاهوعمررسول جليل,43
225,گروپی هەڵوێست,10,حزب,اربيل,ذكر,سواره سعدى مشيرقادرشيخ بزيثني,44
225,گروپی هەڵوێست,11,حزب,اربيل,ذكر,عبدالله حسن علىي احمد,45
225,گروپی هەڵوێست,12,حزب,اربيل,انثى,ايمان هادى نادر قادر,46
232,گروپی هەڵوێست,1,فرد,اربيل,انثى,ڤينوس كريم محمد رحيم بابان,47
247,پڕۆفیسۆردکتۆررعد رفعە محمد,1,فرد,اربيل,ذكر,رعد رفعه محمد مولودکۆکۆني,48
261,بەرهی گەلەکەمان/ جبهة شعبنا,1,حزب,اربيل,انثى,ژينومحمد اسماعيل حسيرن,49
261,بەرهی گەلەکەمان/ جبهة شعبنا,2,حزب,اربيل,ذكر,كمال صابريابه اسماعیل,50
261,بەرهی گەلەکەمان/ جبهة شعبنا,3,حزب,اربيل,انثى,لانه عادل رشيد قادر,51
261,بەرهی گەلەکەمان/ جبهة شعبنا,4,حزب,اربيل,ذكر,عبدالخالقكمال رسول احمد,52
268,الجبهة اليركمانية العراقية,1,حزب,اربيل,ذكر,بروا عمررسول حمد,53
268,الجبهة اليركمانية العراقية,2,حزب,اربيل,ذكر,ماجد عبدالله سليمان رسول,54
268,الجبهة اليركمانية العراقية,3,حزب,اربيل,انثى,ابتسام اسعد مجيد شيخة القصاب,55
268,الجبهة اليركمانية العراقية,4,حزب,اربيل,انثى,وفاء فاضل لطفني بكر البيانري,56
268,الجبهة اليركمانية العراقية,5,حزب,اربيل,ذكر,عبدالباري اوميد جرجيس عباس,57
275,پارتی دیمۆکراتی کوردستان,1,حزب,اربيل,ذكر,ريبوارهادي عبدالرحمان برایم سارممی,58
275,پارتی دیمۆکراتی کوردستان,2,حزب,اربيل,انثى,ئافيستا مام يحرث عثمان عمرجاف,59
275,پارتی دیمۆکراتی کوردستان,3,حزب,اربيل,ذكر,احمد نثي اسماعيل صالح مزوري,60
275,پارتی دیمۆکراتی کوردستان,4,حزب,اربيل,ذكر,ايوب صابرحسن محمدگه لالی,61
275,پارتی دیمۆکراتی کوردستان,5,حزب,اربيل,ذكر,بايزاسماعيل اسعد حسيرن زراری,62
275,پارتی دیمۆکراتی کوردستان,6,حزب,اربيل,انثى,.بشرىكريم حمداميرن محمد قرهسنج,63
275,پارتی دیمۆکراتی کوردستان,7,حزب,اربيل,انثى,چيمن بابكرمحمد زبير,64
275,پارتی دیمۆکراتی کوردستان,8,حزب,اربيل,انثى,جيمن حسيرن عزيزرسول,65
275,پارتی دیمۆکراتی کوردستان,9,حزب,اربيل,ذكر,خشوعزيزكوره خان هرکی,66
275,پارتی دیمۆکراتی کوردستان,10,حزب,اربيل,ذكر,خليل ابراهيم خاليد رسول,67
275,پارتی دیمۆکراتی کوردستان,11,حزب,اربيل,ذكر,دانه ر عبدالغفار عزيز مام ففر,68
275,پارتی دیمۆکراتی کوردستان,12,حزب,اربيل,ذكر,دلاورجوهراحمد رسول,69
275,پارتی دیمۆکراتی کوردستان,13,حزب,اربيل,ذكر,دلوفان محمدفاتح جلال طه,70
275,پارتی دیمۆکراتی کوردستان,14,حزب,اربيل,ذكر,رازي صالح احمد ما ففر,71
275,پارتی دیمۆکراتی کوردستان,15,حزب,اربيل,انثى,.رێنازنجم الدين مجي الدين ملاشيخ برزنجي,72
275,پارتی دیمۆکراتی کوردستان,16,حزب,اربيل,انثى,ساكارغازى محمدعلىي حمداميرن,73
275,پارتی دیمۆکراتی کوردستان,17,حزب,اربيل,ذكر,سفيرن ياسيرن محمداميرن ملاشيخ خيلانني,74
275,پارتی دیمۆکراتی کوردستان,18,حزب,اربيل,ذكر,سيبان عزيزحدوخدرشيروانن,75
275,پارتی دیمۆکراتی کوردستان,19,حزب,اربيل,ذكر,سيروان عارب صادق خضنسیان,76
275,پارتی دیمۆکراتی کوردستان,20,حزب,اربيل,ذكر,ظاهرمحمدعلىي حسن محمد خیلانن,77
275,پارتی دیمۆکراتی کوردستان,21,حزب,اربيل,ذكر,.علىي خالص جواد معروف برزنج,78
275,پارتی دیمۆکراتی کوردستان,22,حزب,اربيل,ذكر,عمرهمزه صالح مولودگه لالی,79
275,پارتی دیمۆکراتی کوردستان,23,حزب,اربيل,ذكر,عمران حم احمد حم,80
275,پارتی دیمۆکراتی کوردستان,24,حزب,اربيل,ذكر,فرهاد عولا احمد مصطفن خیاط,81
275,پارتی دیمۆکراتی کوردستان,25,حزب,اربيل,ذكر,گوفند حسيرن مولود نث شيروانن,82
275,پارتی دیمۆکراتی کوردستان,26,حزب,اربيل,انثى,لنجه ابراهيم عبدالرحمن بایزدزهني,83
275,پارتی دیمۆکراتی کوردستان,27,حزب,اربيل,ذكر,محمد عبدالعزيزخان اودول رشید برادوست,84
275,پارتی دیمۆکراتی کوردستان,28,حزب,اربيل,ذكر,مهدى اميرن عبدالله اميرن هرکی,85
275,پارتی دیمۆکراتی کوردستان,29,حزب,اربيل,ذكر,نهاد نادر حمد حسن بالەکی,86
275,پارتی دیمۆکراتی کوردستان,30,حزب,اربيل,انثى,هوزان اسماعيل عارف غفور,87
278,الاتحاد الاسلامي الكوردستانني,1,حزب,اربيل,ذكر,اسامه جميل على بيرداود,88
278,الاتحاد الاسلامي الكوردستانني,2,حزب,اربيل,ذكر,زهيرمحمداميرن رشيد خضنكاملا,89
278,الاتحاد الاسلامي الكوردستانني,3,حزب,اربيل,ذكر,هاوژين مشيرعمرحمید,90
278,الاتحاد الاسلامي الكوردستانني,4,حزب,اربيل,انثى,جميله احمد على قادر,91
285,العراق/ جماعة العدل الكوردستانية,1,حزب,اربيل,ذكر,محمد حسيرن مجيد عبدالله شوان رابةر,92
285,العراق/ جماعة العدل الكوردستانية,2,حزب,اربيل,ذكر,اميد مصطفن عبدالله مصطفن,93
285,العراق/ جماعة العدل الكوردستانية,3,حزب,اربيل,ذكر,احمد صوفني حامد اسماعيل,94
285,العراق/ جماعة العدل الكوردستانية,4,حزب,اربيل,انثى,چنارجلالكوخه عبيد لطيف,95
285,العراق/ جماعة العدل الكوردستانية,5,حزب,اربيل,انثى,عاشور. جانيه عارف حاجي,96
288,الجيل الجديد-نەوەی نوێ,1,حزب,اربيل,ذكر,كاوه عبدالقادر حسن على,97
288,الجيل الجديد-نەوەی نوێ,2,حزب,اربيل,انثى,فيان عبدالعزيزعبدالرحمن محمد الکلى,98
288,الجيل الجديد-نەوەی نوێ,3,حزب,اربيل,ذكر,خه بات نوزاد عثمانکریم,99
288,الجيل الجديد-نەوەی نوێ,4,حزب,اربيل,ذكر,هوزان احمد عمرمحمود,100
288,الجيل الجديد-نەوەی نوێ,5,حزب,اربيل,انثى,لافه شاهوحيدرمحمود,101
288,الجيل الجديد-نەوەی نوێ,6,حزب,اربيل,انثى,روشنا رفيق حمه اميرن حسن,102
288,الجيل الجديد-نەوەی نوێ,7,حزب,اربيل,ذكر,هندرين فاروق حسيرن حسن,103
288,الجيل الجديد-نەوەی نوێ,8,حزب,اربيل,ذكر,احسان محمد بارام عثمان,104
317,اكوبكريكوراكوب,1,فرد,اربيل,ذكر,اكوبكريكوراكوب هاريتيون ماطلىي,105
332,هبة القس,1,فرد,اربيل,انثى,هبة جرجيس عبدالاحد خوشوالقس,106
336,كلدورمزي اوغنا,1,فرد,اربيل,ذكر,كلدورمزي هرمزشابواوغنا,107
342,ثائره يوسف عزيز,1,فرد,اربيل,انثى,ثائره يوسف عزيزصليوا بلندر,108
205,الانبار هويتنا,1,تحالف,الانبار,ذكر,عادل خميس عبداللطيف فاضل المحلاوي,109
205,الانبار هويتنا,2,تحالف,الانبار,ذكر,يحرث غازي عبد فياض الشجلاوي,110
205,الانبار هويتنا,3,تحالف,الانبار,ذكر,اكرم عبد مخلف صالح العسافني,111
205,الانبار هويتنا,4,تحالف,الانبار,ذكر,احمد رشيد خلف ترکیي السلمانني,112
205,الانبار هويتنا,5,تحالف,الانبار,ذكر,محمد مهند جاسم محمد اميرن العانني,113
205,الانبار هويتنا,6,تحالف,الانبار,ذكر,احمد حميد سررفري فرحان العلوانني,114
205,الانبار هويتنا,7,تحالف,الانبار,ذكر,برهان ناصرمحمد فهد النمراوي,115
205,الانبار هويتنا,8,تحالف,الانبار,ذكر,صادق جميل مظخرحمد جليباوي,116
205,الانبار هويتنا,9,تحالف,الانبار,ذكر,عدي محمد معجل مخلف السويداوي,117
205,الانبار هويتنا,10,تحالف,الانبار,ذكر,خالد عبدالله مهنا صياح العبيدي,118
205,الانبار هويتنا,11,تحالف,الانبار,ذكر,جاسم محمد عسل عبد العيساوي,119
205,الانبار هويتنا,12,تحالف,الانبار,ذكر,شاكرمحمود عبيد حسيرن العيساوي,120
205,الانبار هويتنا,13,تحالف,الانبار,ذكر,عماد مشعل صحن عبد العزيزالبوريشه,121
205,الانبار هويتنا,14,تحالف,الانبار,ذكر,ضياء جبيرمهيدي براك الخليفاوي,122
205,الانبار هويتنا,15,تحالف,الانبار,ذكر,ثامرحميد فرحان حميد الجليباوي,123
205,الانبار هويتنا,16,تحالف,الانبار,ذكر,.منذراحمد عبد حمد الفراجي,124
205,الانبار هويتنا,17,تحالف,الانبار,ذكر,.عبدالواحد خلف سجل حسيرن الجناني,125
205,الانبار هويتنا,18,تحالف,الانبار,ذكر,رحيم خالد عليوي رمان الكرغولیي,126
205,الانبار هويتنا,19,تحالف,الانبار,ذكر,عيسى علىي عداي جادرالمحمدي,127
205,الانبار هويتنا,20,تحالف,الانبار,ذكر,.طارق يوسف محمد عسل الذياني,128
205,الانبار هويتنا,21,تحالف,الانبار,انثى,اسماء اسامه عبدالرحمن عبيد العانني,129
205,الانبار هويتنا,22,تحالف,الانبار,انثى,هديل خلف صالح عسكر الحردانني,130
205,الانبار هويتنا,23,تحالف,الانبار,انثى,.ابتسام محمد درب خلف اللهيثي,131
205,الانبار هويتنا,24,تحالف,الانبار,ذكر,ديارصميم معاويه بهاء الدين الخطيب,132
205,الانبار هويتنا,25,تحالف,الانبار,انثى,شيماء محفوظ رعد مطر الغسانني,133
205,الانبار هويتنا,26,تحالف,الانبار,انثى,الاء بركات شاكرسرريف,134
205,الانبار هويتنا,27,تحالف,الانبار,انثى,هديل خليل اسماعيل جاسم المحمدي,135
205,الانبار هويتنا,28,تحالف,الانبار,انثى,امال عايش حمود حسن العانني,136
205,الانبار هويتنا,29,تحالف,الانبار,انثى,اري.ج سامي معجل سالم المحمدي,137
205,الانبار هويتنا,30,تحالف,الانبار,ذكر,احمد حميد علىي خرميط العبدلیي,138
221,تشري.ع- تحالف سيادة الوطثني,1,تحالف,الانبار,ذكر,سالم مطرعبد حسن العيساوي,139
221,تشري.ع- تحالف سيادة الوطثني,2,تحالف,الانبار,ذكر,فهد مشعان ترکیي راشد الدليمیي,140
221,تشري.ع- تحالف سيادة الوطثني,3,تحالف,الانبار,ذكر,احمد نايف رشيد صالح الدليمیي,141
221,تشري.ع- تحالف سيادة الوطثني,4,تحالف,الانبار,ذكر,احسان عبدالحميد خلف رثيع العسافني,142
221,تشري.ع- تحالف سيادة الوطثني,5,تحالف,الانبار,ذكر,جنيد محمد عبدالكريم عبدالقادر الكسيننان,143
221,تشري.ع- تحالف سيادة الوطثني,6,تحالف,الانبار,ذكر,طالب عبدالواحد ذياب خربيط الخربيط,144
221,تشري.ع- تحالف سيادة الوطثني,7,تحالف,الانبار,ذكر,محمد عطية شدهان عطيوي الفهداوي,145
221,تشري.ع- تحالف سيادة الوطثني,8,تحالف,الانبار,انثى,اري.ج حسيرن عليوي خلف الجميلىي,146
221,تشري.ع- تحالف سيادة الوطثني,9,تحالف,الانبار,ذكر,قاسم محمد نطاح محمدكليباوي,147
221,تشري.ع- تحالف سيادة الوطثني,10,تحالف,الانبار,ذكر,وقاص عدنان حامد عبداللطيف دله علىي,148
221,تشري.ع- تحالف سيادة الوطثني,11,تحالف,الانبار,انثى,نهلة حمد عبد صالح الراوي,149
221,تشري.ع- تحالف سيادة الوطثني,12,تحالف,الانبار,انثى,نجاة سايرمهنا صياح العبيدي,150
221,تشري.ع- تحالف سيادة الوطثني,13,تحالف,الانبار,ذكر,خالد حمد سليمان حمد دليمیي,151
221,تشري.ع- تحالف سيادة الوطثني,14,تحالف,الانبار,ذكر,جمال عبدالسلام عبيد سالم الكبيسىي,152
221,تشري.ع- تحالف سيادة الوطثني,15,تحالف,الانبار,انثى,اري.ج نبيل فرحان عبد الحديثىي,153
221,تشري.ع- تحالف سيادة الوطثني,16,تحالف,الانبار,ذكر,قيضعبد درك حديد ال حديد,154
221,تشري.ع- تحالف سيادة الوطثني,17,تحالف,الانبار,ذكر,اياد ناظم جاسم حمادي العلوانني,155
221,تشري.ع- تحالف سيادة الوطثني,18,تحالف,الانبار,ذكر,.عمرعبدالله جلال مخلف الفراجي,156
221,تشري.ع- تحالف سيادة الوطثني,19,تحالف,الانبار,ذكر,نهاد فيصل عطاالله عباس العامري,157
221,تشري.ع- تحالف سيادة الوطثني,20,تحالف,الانبار,ذكر,عبدالرحمن جياد ثويثني حديد المحمدي,158
221,تشري.ع- تحالف سيادة الوطثني,21,تحالف,الانبار,ذكر,ذياب مشهورحميد ذيب السلمانني,159
221,تشري.ع- تحالف سيادة الوطثني,22,تحالف,الانبار,ذكر,ناهض منذرعبد حمود العامري,160
221,تشري.ع- تحالف سيادة الوطثني,23,تحالف,الانبار,ذكر,احمد صالح حسيرن حمد الزاوي,161
221,تشري.ع- تحالف سيادة الوطثني,24,تحالف,الانبار,ذكر,ابراهيم زغيتون جلوب دخيل المحمدي,162
221,تشري.ع- تحالف سيادة الوطثني,25,تحالف,الانبار,انثى,نوفه مضجي حمدي ابراهيم الحردانني,163
221,تشري.ع- تحالف سيادة الوطثني,26,تحالف,الانبار,انثى,وفاء حميد خلف سنيد الشمري,164
221,تشري.ع- تحالف سيادة الوطثني,27,تحالف,الانبار,انثى,منارعلىي شلال شيحان السويداوي,165
221,تشري.ع- تحالف سيادة الوطثني,28,تحالف,الانبار,انثى,صابرين حميد وردي شبيب الجليباوي,166
221,تشري.ع- تحالف سيادة الوطثني,29,تحالف,الانبار,ذكر,اياد مخلف عايد طعيس الجليباوي,167
221,تشري.ع- تحالف سيادة الوطثني,30,تحالف,الانبار,ذكر,مجيد حميد جاسم محمد العيساوي,168
236,حزب العمران,1,حزب,الانبار,انثى,مها مدروج خليفة حمد العبيدي,169
236,حزب العمران,2,حزب,الانبار,ذكر,فرهاد كريم ابراهيم منفني النمراوي,170
236,حزب العمران,3,حزب,الانبار,ذكر,.سيف سعد صبارعلاوي الفراجي,171
236,حزب العمران,4,حزب,الانبار,ذكر,خالد ابراهيم حميد سليمان الفهداوي,172
236,حزب العمران,5,حزب,الانبار,انثى,سهام جمعة جبيررجب الكبيسىي,173
236,حزب العمران,6,حزب,الانبار,انثى,عواصف احمد صالح منصورالدليمیي,174
236,حزب العمران,7,حزب,الانبار,انثى,حنان عوادكروت حمادي السويداوي,175
236,حزب العمران,8,حزب,الانبار,انثى,شيماء عبدالرزاق مشعل خليفة النمراوي,176
236,حزب العمران,9,حزب,الانبار,ذكر,سعد خليل ابراهيم نايل النايل,177
236,حزب العمران,10,حزب,الانبار,ذكر,محمد علىي نواراحمد الدليمیي,178
236,حزب العمران,11,حزب,الانبار,ذكر,رياض طه حردان علىي المعموري,179
236,حزب العمران,12,حزب,الانبار,انثى,سامية امحان حمد حمادي الفهداوي,180
236,حزب العمران,13,حزب,الانبار,ذكر,ثائرعبدالجبارمحمد مشهد الجليباوي,181
236,حزب العمران,14,حزب,الانبار,ذكر,عماد مزبان عواد شيحان المعموري,182
236,حزب العمران,15,حزب,الانبار,ذكر,انس خليل اسماعيل حمود الجميلىي,183
241,عزم/ تحالف عزم العراق,1,تحالف,الانبار,ذكر,زيد علىي حماد سمير,184
241,عزم/ تحالف عزم العراق,2,تحالف,الانبار,ذكر,احمد نضالله عبدالكريم مخلف الفهدواي,185
241,عزم/ تحالف عزم العراق,3,تحالف,الانبار,ذكر,اركان خلف طرموزسررفري,186
241,عزم/ تحالف عزم العراق,4,تحالف,الانبار,انثى,نهله جبارخليفه محسن,187
241,عزم/ تحالف عزم العراق,5,تحالف,الانبار,ذكر,وطبان جمال سعدون عيفان العيساوي,188
241,عزم/ تحالف عزم العراق,6,تحالف,الانبار,ذكر,عمرحامد نوفان مجبل الجميلىي,189
241,عزم/ تحالف عزم العراق,7,تحالف,الانبار,ذكر,مشتاق طالب عياده رفيع,190
241,عزم/ تحالف عزم العراق,8,تحالف,الانبار,انثى,براعم مؤيد عبود فياض الجميلىي,191
241,عزم/ تحالف عزم العراق,9,تحالف,الانبار,ذكر,سلام عجمیي طه علىي الحلبوسي,192
241,عزم/ تحالف عزم العراق,10,تحالف,الانبار,ذكر,صياد حمد العلوانني. عارف مخي,193
241,عزم/ تحالف عزم العراق,11,تحالف,الانبار,ذكر,كمال رجه محمد حداد العيساوي,194
241,عزم/ تحالف عزم العراق,12,تحالف,الانبار,انثى,منال خليفه محمد شويش عسافني,195
241,عزم/ تحالف عزم العراق,13,تحالف,الانبار,ذكر,فاروق تايه حردان مهيدي الجغيفني,196
241,عزم/ تحالف عزم العراق,14,تحالف,الانبار,ذكر,غانم عوض وهاب عيفان,197
241,عزم/ تحالف عزم العراق,15,تحالف,الانبار,ذكر,محمد علىي سليمان طه,198
241,عزم/ تحالف عزم العراق,16,تحالف,الانبار,انثى,جعاطه الرفاعي. ميسم فياض شيم,199
241,عزم/ تحالف عزم العراق,17,تحالف,الانبار,ذكر,مصطفن عبد صالح محمد,200
241,عزم/ تحالف عزم العراق,18,تحالف,الانبار,ذكر,ايهاب مجيد حسيرن علىي المحمدي,201
241,عزم/ تحالف عزم العراق,19,تحالف,الانبار,ذكر,عياده عجيمیي عجيل شاهيرن,202
241,عزم/ تحالف عزم العراق,20,تحالف,الانبار,انثى,ريم غازي خليل ابراهيم,203
241,عزم/ تحالف عزم العراق,21,تحالف,الانبار,ذكر,محمد خميس خلف حمادي,204
241,عزم/ تحالف عزم العراق,22,تحالف,الانبار,ذكر,مروان محمد ابراهيم طلال,205
241,عزم/ تحالف عزم العراق,23,تحالف,الانبار,ذكر,اياد عبدالعزيز محمود عبدالكريم الراوي,206
241,عزم/ تحالف عزم العراق,24,تحالف,الانبار,انثى,ايمان عايد تبان خلف,207
241,عزم/ تحالف عزم العراق,25,تحالف,الانبار,ذكر,وطبان حكيمكطاع جاسم,208
241,عزم/ تحالف عزم العراق,26,تحالف,الانبار,ذكر,ماهرعرميط خشمان محمد الكعود,209
241,عزم/ تحالف عزم العراق,27,تحالف,الانبار,انثى,سناء حمد عبدالله حسن,210
241,عزم/ تحالف عزم العراق,28,تحالف,الانبار,انثى,ايمان قاسم عباس علىي,211
241,عزم/ تحالف عزم العراق,29,تحالف,الانبار,ذكر,عيسى سايرمضعن عبدالله العيساوي,212
241,عزم/ تحالف عزم العراق,30,تحالف,الانبار,ذكر,قتيبه رحيم مطلك عبد,213
242,القيادة,2,تحالف,الانبار,ذكر,.جاسم محمد رديثني راشد الذياني,214
242,القيادة,4,تحالف,الانبار,ذكر,.احمد محيسن عليوي غضبان الفراجي,215
242,القيادة,5,تحالف,الانبار,ذكر,عبدالمجيدكرب علىي السمرمد العبيدي,216
242,القيادة,6,تحالف,الانبار,ذكر,كمال مصطفن يحرث علىي المشهدانني,217
242,القيادة,7,تحالف,الانبار,ذكر,انورياسيرن محمد سررموط البيلاوي,218
242,القيادة,8,تحالف,الانبار,ذكر,سيف قيس عايد محمد المعاضيدي,219
242,القيادة,9,تحالف,الانبار,ذكر,مهند عبد عويد فلاح العبيدي,220
242,القيادة,10,تحالف,الانبار,ذكر,ناظم شاكرعباس جاسم الفهداوي,221
242,القيادة,11,تحالف,الانبار,ذكر,محمود جميل جاسم حسيرن العيساوي,222
242,القيادة,12,تحالف,الانبار,ذكر,محمد عبدالرزاق عبدالواحد عبدالله العبدلیي,223
242,القيادة,13,تحالف,الانبار,ذكر,.رياض محمود سويدان رشيد الدراجي,224
242,القيادة,14,تحالف,الانبار,ذكر,رائد عباس جسام محمد الحيانني,225
242,القيادة,15,تحالف,الانبار,ذكر,رياض خلف جاسم محمد البيلاوي,226
242,القيادة,17,تحالف,الانبار,ذكر,.سيف صادق شهاب احمد الحرني,227
242,القيادة,18,تحالف,الانبار,انثى,نهاد هادي محمد جاسم المحمدي,228
242,القيادة,19,تحالف,الانبار,انثى,اخلاص محمد حميد صالح المحمدي,229
242,القيادة,20,تحالف,الانبار,انثى,الدليمیي. ايمان احمد مخلف غرني,230
242,القيادة,21,تحالف,الانبار,انثى,.مثن داود مجيد شلال الجناني,231
242,القيادة,22,تحالف,الانبار,ذكر,جمعة محمد عوض محمد الحبلانني,232
242,القيادة,23,تحالف,الانبار,انثى,اسماء شعبان عبد رجب الراوي,233
242,القيادة,24,تحالف,الانبار,انثى,نورعباس فاضل هزيم السويداوي,234
242,القيادة,25,تحالف,الانبار,انثى,.علياء عبدالستار عبدالله حمادي الجناني,235
242,القيادة,26,تحالف,الانبار,ذكر,عمرجمعة عبدالله عريمط الجريصي,236
242,القيادة,28,تحالف,الانبار,ذكر,اياد خلف خربيط صلثي المرعاوي,237
242,القيادة,29,تحالف,الانبار,ذكر,مشتاق نجيب احمد خليفة الخليفاوي,238
246,حزب الانتشارالوطثن,1,حزب,الانبار,ذكر,سيف الدين محمد حنفوش حبيب الكرغولیي,239
246,حزب الانتشارالوطثن,2,حزب,الانبار,ذكر,علىي سعدي مجهد علىي العيساوي,240
246,حزب الانتشارالوطثن,3,حزب,الانبار,ذكر,حسام الدين محمد حنفوش حبيب الكرغولیي,241
246,حزب الانتشارالوطثن,4,حزب,الانبار,انثى,ابتسام هادي عايش حسيرن الجوعانني,242
246,حزب الانتشارالوطثن,5,حزب,الانبار,انثى,اري.ج يحرث اسماعيل حسن المحمدي,243
255,حزب تقدم,1,حزب,الانبار,ذكر,هيبت حمد عباس عبدالجبارالحلبوسي,244
255,حزب تقدم,2,حزب,الانبار,ذكر,احمد حامد خلف غضا الجابري,245
255,حزب تقدم,3,حزب,الانبار,ذكر,بشارعامج اسماعيل مخلف العكاسري,246
255,حزب تقدم,4,حزب,الانبار,ذكر,وسام زبن صالح شيحان العسافني,247
255,حزب تقدم,5,حزب,الانبار,ذكر,فيصل خالد عيفان هراط العيساوي,248
255,حزب تقدم,6,حزب,الانبار,ذكر,سدادكامل محمد دحل العيساوي,249
255,حزب تقدم,7,حزب,الانبار,ذكر,عواد فنوص الهزيماوي. زياد ناجي,250
255,حزب تقدم,8,حزب,الانبار,ذكر,غازي فيصل نجرسكعود النمراوي,251
255,حزب تقدم,9,حزب,الانبار,ذكر,ماهرعثمان حسن حمادي الفهداوي,252
255,حزب تقدم,10,حزب,الانبار,ذكر,سنان عبدالاميرحمد نصيف الجميلىي,253
