"ElectionNumber","Name_English","Name_Original","City"
"1076","?????????? ???? ???? ???? ???????","Abdul Haseer N Adi Baljat Ksheesh Al Jawasem","????????"
"1077","???? ????????? ????????? ???????","Safaa Abdel Rahim Akar Hasir N        Al-
Kafari","????????"
"1078",".????? ???????? ???? ????","Nawras Atiya Kazem Awad with me","????????"
"1079","???? ??? ???? ????? ???????","Salah Hassan Abbas Alwan Al-Saeedi","????????"
"108","????? ???? ????????? ?????","Thaira Youssef Aziz Saliwa Blender","?????"
"1080","???? ???? ???????? ????????","Wassam Jamil Bashir Jawad Al-Hilaliyi","????????"
"1081","???? ???? ???? ???? ???????","Balsam Ali Talib Bashaat Al-Awady","????????"
"1082","???? ????? ????? ??? ????????","Engineer Rahman Hamad Al-Nayli's adv-
ertisement","????????"
"1083","???? ????????? ????????? ????????????","Safaa Abduljawad Abdulkadhim Zuwair Al-Shablawi","????????"
"1084","???? ???????? ???? ???????","Tariq Aziz Jassim Ali Al-Rashidi","????????"
"1085","????? ???? ???????? ??????","Inas Talib Nasser Hasson Jamal?yi","????????"
"1086","???? ????????????? ???? ?????????","Khaled Abdul Amir Abees Sabah Al-Bukhnaifs","????????"
"1087","???? ???? ???? ???? ????","Imad Awad Rashid, support, support","????????"
"1088","??? ???? ???????? ????????????","Hiba Muhammad Abdul Hassan Zug-
hair Al-Shabanani","????????"
"1089","???? ????? ????? ???? ?? ?????","Ayed Aliwi Madloul Lafta Al Madloul","????????"
"109","???? ???? ????????? ???? ????????","Adel Khamis Abdul Latif Fadel Al-Mahlawi","???????"
"1090","??? ???? ??????? ?????????","Witnessed by Abdulkadhim Al-
Sabbaghani","????????"
"1091","???????? ????? ????? ???????","Ahmed Kamel Shaalan Salman Al-Khazaei","????????"
"1092","???? ???? ???? ????? ????????","Nazim Fahim Muhammad Majhool Al-Shablawi","????????"
"1093","??? ????? ????????? ?? ?????","Hassan Salman Nasser Haseer N Al-Mukutter","????????"
"1094","???????? ????? ????? ?????????","Ahmed Kamel Mankash Za-
zaa Al Farhanni","????????"
"1095","??? ???? ???? ????????? ????","Nour Nafi Ali Abdul Amir Douji","????????"
"1096","????? ???????? ???? ???????","I am very sorry for your loss, Shaker
Ankosr","????????"
"1097","???? ????? ???? ????? ??????","Majed Haseer N Ali Mandhour Al-
Ghanem","????????"
"1098","???? ??????? ????????????","Ahmed Sakr Hamza Makwatar Al-Badri","????????"
"1099","???????. ???? ??? ???? ??","Saham Musa Hamoud Jialmusawi","????????"
"11","????? ???? ??? ????","Saman Fattah Hassan Rashid","?????"
"110","???? ???? ??? ???? ????????","Ghazi Abdul Fayyad Al-Shajlawi plows","???????"
"1100","???? ????????? ????? ???? ????????","Mohammed Abdul Amir Shaalan
Attia Al-Shabanni","????????"
"1101","???? ????? ??? ???? ???????","Ahmed Aliwi Hassan Obaid Al-Saeedi","????????"
"1102","???????? ???????? ??????? ????????","Abdolreza Ovidkazem Barbonari Al-
Miyali","????????"
"1103",".???? ???? ???? ????? ???????","Nidal Attia Khaddam Basir
Ya Janani","????????"
"1104","???? ???? ???? ???????????","Ghanem Maklad Jaloub Aziz Al-Jabouri","????????"
"1105","???? ???? ????????? ???????","Salim Jamil Shaker Rakban Al-Shabli","????????"
"1106","???? ???? ???????? ???? ????????","Muhammad Mard Abdul Hassan
Hassoun Al-Arasani","????????"
"1107","???? ???? ????? ???? ????????","Alaa Saleh Alwan Nasser Al-Nayli","????????"
"1108","???????? ???????? ????????","Karar Karim Hilal Kazem Al-Budhahk","????????"
"1109",".???? ???? ????? ???? ???????","Asaad Hamza Aliwi Obaid Al-Janani","????????"
"111","???? ??? ???? ???? ????????","???? ??? ???? ????  ????????","???????"
"1110","??????????? ??? ????????","Amr Wasif Kazem Abdel Fatlawi","????????"
"1111","??? ????????? ???? ???? ????????","Ala Abdul Amir Jassim Mohammed Al-Karaghoul","????????"
"1112","??????? ???? ???? ??????","Haider Hassan Mani' Hegel Al-Qasir","????????"
"1113","????? ???????? ??? ???? ?????????","Ashwaq Abdulreza Abdulbejai Al-Zarijawi","????????"
"1114","???? ???? ???? ???? ????????","Abbas Shuail Awda Thajil Al-Zamili","????????"
"1115","???? ???? ???? ???? ???????","A gesture by Hadi Hamza Attia Al-Jaafari","????????"
"1116","???????????????? ??????? ???? ????????","Zulfiqar Abdul Hassan Abdel Ali Kazem El Shablawi","????????"
"1117","????? ???? ???? ???? ???????","Zahraa Fadel Hadi Jassim Al-Hijami","????????"
"1118",".???????? ???????? ?????","Haider Diab Jaberjasem Al-Jiyi","????????"
"1119","??? ???? ????? ?????????????","Hassan Halul Samida Ashura Al-Miyali","????????"
"112","???? ???? ??? ????? ?????????","???? ???? ???","???????"
"1120","???? ???? ????? ???? ?????????","Ahmed Younis Hasir N       Rabat Al-Naghisir
Y","????????"
"1121",".?????? ???? ???? ???? ???????","Starting with Ali Muhammad Baqir Al-Araji","????????"
"1122","???? ???? ???? ???????????","Hussam Falah Abbas Jaber Al-Taraji","????????"
"1123","???????? ???? ???? ????????","Jafar Sha'il Awda Thajil Al-Zamili","????????"
"1124","???? ???????????????? ??????","Fadel Abdul Amir Nour Habib Al-Mahna","????????"
"1125","???????? ????????? ??? ????????","Thamar Hasir N       Abdulzahra
Mous Al-Naeli","????????"
"1126","????????? ???? ????? ????????","Jabbar Eidan Zghair Maaraj Al-Shablawi","????????"
"1127","???? ???? ????? ???? ???????","Kazem Fneikh Hasir N        Awad Al-
Saeedi","????????"
"1128","????????. ???? ???? ???? ????","Muhammad Ali Hamza Naji Al-Shablawi","????????"
"1129","????? ????????? ???? ?????? ???????","Shaima Abdel Hadi Sadiq Yasser N Najaf
Y","????????"
"113","???? ???? ???? ???? ????? ???????","   Mohammed Muhand Jassim
    Mohammed Amir N Al-Anani","???????"
"1130","????? ????? ???? ??? ???????","????? ????? ???? ???  ???????","????????"
"1131","???? ???? ????? ?????????","Governor Khamat Farhan Wadaa'a Kurdi","????????"
"1132","????????????????? ?????","Ahmed Kazem Kassar Rasn
Y Al-Kim","????????"
"1133","???? ???? ????? ??????? ???????","Suad Jabbar Salman Ibr-
ahim Al-Safni","????????"
"1134","???? ??? ???? ????? ????????","Asaad Musa Jassim Hudhud Al-Khazaali","????????"
"1135","????? ???? ????? ???? ????????","Nadia Kazem Hasirn Abbas Al-Adliyi","????????"
"1136","???? ????? ???????? ??? ?????????","Ahmed Kharbat Abdel Sayed Abdel Jalehawi","????????"
"1137","???? ???? ???? ????? ??????","Muhammad Ali Khalil Sultan Al-Kassar","????????"
"1138","???? ???? ????????? ????????","Rahi Saeed Natour Abbas Al-Shablawi","????????"
"1139","??? ???? ???? ???? ????????","Raghad Hamid Mahdi Hamza Al-Arisan
Y","????????"
"114","???? ???? ?????? ????? ?????????","Ahmed Hamid Sarrar Free
Farhan Al-Alwani","???????"
"1140","????? ????? ??? ????? ???????","Saadoun Haseer N Dharib Salman
Al-Khuzai","????????"
"1141","???? ??????? ???? ???????????","???? ??????? ???? ???? ???????","????????"
"1142","????? ???? ??????? ??????","Hasirn Alaa Kamrkazem Ja'bawi","????????"
"1143","????? ???? ????? ??????????","Alia Mohammed Salman Khadn Al-
Badri","????????"
"1144","????????? ???? ???? ??????","Fatima Karim Abbas Jassim Akhwara","????????"
"1145",".???? ????????? ??? ???? ?????","Ahmed Abdel Karim Abdel Mawat Al-Jiyi","????????"
"1146","???? ????? ???????? ??????","Alaa Hasir Abbas Kazim Al Khamis","????????"
"1147","?????? ???? ??????? ?????????","Helen Sabah Jaber Hamad Al-
Sultani","????????"
"1148","???? ???? ????? ???? ?????????","Raed Jassim Haseer N Ajeel Al-Zirjawi","????????"
"1149","????? ???? ???? ???? ????????","Haseer N Najah Ghazi Anid Al-Hilali","????????"
"115","????? ???????? ??? ????????","Burhan Nasser Mohammed Fahd Al-Nimrawi","???????"
"1150","???? ??? ????? ????? ?????????","Mohsen Hassan Hasirn Shanawa Al-Khalifaoui","????????"
"1151","????? ???? ???????. ????? ????","Maysoun Baji Saywan Mard Al Mansour","????????"
"1152","???? ???????? ????? ??????","Abbas Redha and Kadhim Idris Al-Dris","????????"
"1153","???? ??? ????????? ???? ????????","Fouad Hassan Abdul Amir, martyr of
Al-Arisun","????????"
"1154","???????. ??????? ??? ????","Saharflih Hassan Baji Al-Khaza'i","????????"
"1155","???? ???? ???? ??? ???????","Wael Fadel Ayash Abdul Ramaji","????????"
"1156","???? ????????? ???????? ????? ??????","Wael Abdel Wahid Abdel Redha Rahman Al-Qasir","????????"
"1157","???? ???? ???? ??? ???????","Alaa Jamil Talib Abdul-Zubaidi","????????"
"1158",".???? ????????? ???? ??","Razzaq Hasinakadim Shanta Shi","????????"
"1159","???? ???? ????? ????? ??????","Nouri Ali Shaalan Salman Al-Zahir","????????"
"116","???? ???? ??????? ???????","Sadiq Jamil Muzhar Hamad Jalibawi","???????"
"1160","???? ????????????? ??????","Ali Salman Kader Salman Al-
Mashri","????????"
"1161","???? ????? ???? ??? ??????","Ali Rasn Y Salal Hassan Al-
Jazzar","????????"
"1162","???? ???? ???? ??? ??????","Tariq Rahim Majeed Musa Al-Khayat","????????"
"1163","???? ???? ??? ????? ????????","Guide Wissam Hassan Farhan Al Mansouri","????????"
"1164","????????? ???? ????? ???????","Munir Shaalan Mujed Shaalan Al Shaalan","????????"
"1165",".???? ????? ????? ????? ?????","Kazem Obaidi Abdan Darwish Al-Jiyi","????????"
"1166","???? ???? ????????? ?? ??????","Ahmad Diya Shakertal?i al-Buhsna","????????"
"1167",".???? ???? ???? ???? ????????","Tariq Jamil Nima Madhri Al-Yaqawi","????????"
"1168","????? ???? ???? ????????????","Virgin Bahjat Jassim Zahiraljamal?i","????????"
"1169","???????? ????? ??? ?????????","Haider Saleh Hani Hassan Al-
Hamidawi","????????"
"117","??? ???? ???? ???? ?????????","Adi Muhammad Muajjal Mukhlif Al-Suwaidawi","???????"
"1170","??????? ????? ???? ???? ???","Muthanna Kazem Rasn, I am Aday
Bathin, I am a size","????????"
"1171","????? ???? ???? ????? ????????","Murtazan Naim Jalab Alwan Al-
karsan Y","????????"
"1172","???? ???????? ????? ????????","Abbas Aziz Abbas Suwadi Al-Fatlawi","????????"
"1173","???? ???? ??? ????? ????????","Marwa Kazim Abdul Hasir Al-Hamzawi","????????"
"1174","????????? ???????? ????????","???? ????? ???? ???? ????????","????????"
"1175","???? ??? ???????? ???????","???? ??? ???? ????  ???????","????????"
"1176","????????? ????? ???? ??????","Mustafa Karim Zabala Salal Al-
Ghanim","????????"
"1177",".????? ???? ???? ??? ???????","Hawra Ali Karim Hassan Al-Rukani","????????"
"1178","????? ???? ???? ??? ?????????","Khalida Hassan Abis Abdel Hamidawi","????????"
"1179","????????????? ????? ????????","Starjaberkavoosh Sarr Yif Hashemi","????????"
"118","???? ??????? ???? ???? ???????","Khaled Abdullah Mahna Sayah Al-Obaidi","???????"
"1180","???? ???? ???????? ???????","Mohammad Nouri Aziz Kazim Kh-
azali","????????"
"1181","????? ???? ???? ???? ?????????","Show me Habib Dragh Mohammed
Al-Sabbaghani","????????"
"1182","???? ???? ???????? ???? ??????","The stubbornness of Hassan Abdul Redha Rashid Al-Ziyad","????????"
"1183","???? ???? ???? ???? ????","Wedad Hatem Hashem Mohammed Mohana","????????"
"1184","????? ???? ???? ???? ???????","I feel sorry for Hamid, the martyr Abu
Janiya","????????"
"1185","????????? ???? ??????? ???????","Abdulkadhim Hamid Khadir Hassan Al-Jubouri","????????"
"1186","????? ???? ??? ??? ????????","Charter of the student, the stripped rope of the Shibawi","????????"
"1187","????? ???? ???? ???? ????????","Shaima AliNe'ma Jassim Al-Qarawi","????????"
"1188","???? ????? ???? ????? ??? ???","Muhammad Hasir N       Juma Burhan
Kara Gul","????????"
"1189",".???? ???? ??????? ????? ???????","Ahmed Subaih Abdullah Salman Al-
Rukani","????????"
"119","???? ???? ??? ??? ????????","Jassim Mohammed Asal Abdul-Aissawi","???????"
"1190","???? ????? ??? ??????? ???? ?????","Hamed Rahim Abdul Haseer N and Nas
Amari","????????"
"1191","???? ???? ???? ??? ????????","Zainab Ne'ma Abbas Hassan Al-Zamili","????????"
"1192","????? ???? ???? ???? ??????","Mahmoud Hashem Salem Shabib Al-Shabib","????????"
"1193","????????? ???? ??? ???? ???????","Haider Hasir N       Ali Hassan Jazzar
Al-Khalidi","????????"
"1194","???????. ???? ???? ???? ?????","Thamer Saleh Mahdi Laithi Al-Badri","????????"
"1195","??? ???? ????? ???? ????????","And the age of Hadi Khantil Awda Al-Fatlawi","????????"
"1196","???? ???? ????? ????? ???????","Jassab Hamoud Anonymous Farhan Al-Shabli","????????"
"1197","???????? ???? ????? ???????","Muhammad Kazim Rabbat Hasiran
Al-Zubaidi","????????"
"1198","???? ???? ???? ???? ??????","Ahmed Taresh Jassim Shabib Al Hindi","????????"
"1199","???? ???? ??? ???? ???????","Salma Fleih Hassan Mian Al-Baydan","????????"
"12","??????? ?????????","Amirzaid Omar Khadnagha","?????"
"120","????????? ???? ????? ????????","    Shaker Mahmoud Obaid Haseer N Al-
                            Issawi","???????"
"1200","???? ??? ??? ???? ????????","Sarah Saad Abdul Gha-
nem Al-Kanani","????????"
"1201","???? ?????? ???? ??? ???????","Hadi Tomirn Aboud Jarad Al-Jubouri","????????"
"1202",".???? ???????? ????? ???????","Bassem Khadir Kazim Ziarat Al-
Gharani","????????"
"1203","???? ???? ???? ???? ?????","???? ???? ???? ???? ?????","????????"
"1204","???? ???? ???? ???? ??????","Jalal Sabaji Fadhel Jassim Al-Mahna","????????"
"1205","??????? ????? ???? ????? ??????","Smile Alwan Shafiq Khalifa Al-Mahna","????????"
"1206","??? ???? ???????. ??????","Karasinouh Mohammed Al-Moussawi","????????"
"1207","????????. ???? ???? ????? ??","???? ???? ????? ?? ????????","????????"
"1208","????? ???????? ????? ???????","Qahtan Saeed Kazim Allawi Al-Nasseri","????????"
"1209","??????? ??????? ???? ???????","Farah Kamel Abdul Muslim Mohammed Al-Jabouri","????????"
"121","???? ???? ??? ??? ??????????????","Imad Mashal Sahn Abdul Aziz Al-Burisha","???????"
"1210","???? ???? ??????. ???? ??","Adel Jehamza Aboud Mansouri","????????"
"1211","????? ???? ??????????? ???????","Ihab Mohammed Nour Abdul-Ridha Al-Zubaidi","????????"
"1212","???? ??????? ???? ???? ???????","Mohammed Ibrahim Ali Jassim Al-Awadi","????????"
"1213",".??? ???? ???????? ???????","Maha Mohammed Jaber Abud Al-Araji","????????"
"1214","???? ??????? ???? ???????","Jassim Jaberti Hamoud Al-Saedi","????????"
"1215","???? ??? ???? ??? ?????????????","Falah Hassan Dalil Abdul Khadhin Al-Ayasir
Y","????????"
"1216","???? ???? ???????? ???? ????????","Ali Faleh Abdul Hassan Tabij Al-Tamimi","????????"
"1217","???? ???? ???? ???? ???????","Muhammad Subaji Fattah Hassun al-Shajer Y","????????"
"1218","???? ??? ???? ??? ??????? ???????","Muhammad Reza Majid Abdul Bou Abdul Ali","????????"
"1219","??? ???? ????? ????? ??????","??? ???? ????? ????? ??????","????????"
"122","???? ????????? ???? ?????????","Diaa Jaber Mahdi Barak Al-Khalifaoui","???????"
"1220","????? ???? ????? ???? ?????","????? ???? ????? ???? ?????","????????"
"1221",".????? ???? ???? ??? ???????","Hamida Hadi is angry with Al-Khafaji","????????"
"1222","??????????? ???????? ???????","Intesar Tawfiq Jaafar Hadi Abu Tabikh","????????"
"1223","???? ???? ??? ???? ???????","The giving ofFalah Hassan Abbas Al-Moussawi","????????"
"1224","????? ???? ???? ???? ??????","The appointment of Hadi Saleh Mahdi Al-Kassar","????????"
"1225","????????? ???? ????? ???????","Mustafa Kamil Mir Y Salman Al-Salji","????????"
"1226","???? ???? ???????? ???????","Jassim Mohammed Jaber Jadou' Al-Baydan","????????"
"1227","???? ???? ???? ???? ???????","Ahmed Rahman Hadi Kashash Al-Abadi","????????"
"1228","???? ???? ???? ???? ??????","Ahmed Fadel Ne'meh Abbas Al-Hakak","????????"
"1229","???? ????????? ???? ??? ????????","Muhammad Abd al-Azim Hamza Hamad al-Khuwaildi","????????"
"123","???????? ????? ???? ?????????","Thamer Hamid Farhan Hamid Al-Julaibawi","???????"
"1230",".???? ???? ???? ???? ????????","Welfare of Malik Rashid Jassim Al-Yakaawi","????????"
"1231","???????? ????????? ???????","Haider Jamil Jaber Hamdi Al-Shenir","????????"
"1232","????? ????????? ????? ???????????","Saadia Abdel Abbas Badawi Sakr Al-
Haftan Y","????????"
"1233","???? ???? ??? ????? ???????","Alaa Kazim, star of the flood of immortality","????????"
"1234","?????????????? ???? ?????","Haider Mansour Akmoush Mohammed Al-Qaid","????????"
"1235","???? ???? ???? ???? ????????","Ali Hakim Muhammad Ahmad al-
Mawhuli","????????"
"1236","???????? ???? ???? ????????","Dhaferflek Aboud Hamoud Al-Nayli","????????"
"1237","???? ???????????? ????????","???? ???? ???? ???? ????????","????????"
"1238","????? ???? ???? ???? ???????","Mustafa Shihab Ahmed Abbas Al-Haythri","????????"
"1239","???? ???? ????????????? ????","Ali Nouri Abdul-Jabbar Muzail Al-
Taha","????????"
"124",".???????? ??? ??? ???????","Mandhir Ahmed Abdul Hamad Al-Faraji","???????"
"1240","????????? ????? ???? ?????????","Sadia Kazim Burhan Awad Al-Maslujan
Y","????????"
"1241","???? ???? ??? ????? ????????","Susan Madih Hassan Hasirn Al-Miyal
?i","????????"
"1242","???????? ????? ??????? ???????? ???","Ammar Habib Jahlul Abu Hasna Al-Bouali Khan","????????"
"1243","???????? ???? ???? ??????","Nasser Ghanem Rahma Naas Al-Qasir","????????"
"1244","????????? ???? ??? ????? ???????","Abdulkadhim Ajil Abdul Masir Al-Ziyadi","????????"
"1245","???? ???? ????? ????? ???????","Hisham Adel Manjan Y Salman Al-
Jabouri","????????"
"1246","???? ???? ???? ????? ????????","???? ???? ???? ?????  ????????","????????"
"1247","???? ????? ???? ????? ????????","Aqeel Shamran Awda Mishlosh Al-Karawi","????????"
"1248","???? ????? ????????? ??? ???? ?????","Kamal al-Din Abdul-Kazem Faraj Shaher al-Ghazi","????????"
"1249","???? ???? ???? ????? ????????","Zainab Hassoun Aboud Khasiba Al-Shuwaili","????????"
"125",".????????? ??? ??? ????? ???????","Abdul Wahid Khalaf recorded Hasir
N Al-Janani","???????"
"1250","???? ???? ???? ???? ????????","Mohsen Obaid, the singer of Dahi
Al-Arisun","????????"
"1251","???? ????? ????? ????? ???????","Mir Rahman Imran Salman Nasiri","????????"
"1252","????????? ???? ???? ???? ??????????","Abdul Amir Abbas Mir Y Nima Talqani","????????"
"1253","????? ???? ???? ??? ?????? ????????","Virgin Aqeel Ali Abdul Karim Al-Ruwaili","????????"
"1254","???? ???? ???? ????? ???????","???? ???? ???? ????? ???????","????????"
"1255","???? ??? ??? ????? ????????","Maryam Musa Raad Hasir Al-Khamisi","????????"
"1256","????? ???? ???? ???? ?? ???","Moatasem Moad Tawad Faqih Al Hamad","????????"
"1257","????? ???? ????? ??????? ????????","Khaldoun Ali Hasirn Abdullah Al-
Hilali","????????"
"1258","???????????????? ???? ???????","Nour Abdul Karim Katie Saleh Al-Saeedi","????????"
"1259","?????? ???? ???? ???? ??????","Hasniran plows Abbas Hassoun Al Shamri","????????"
"126","???? ???? ????? ???? ?????????","Rahim Khaled Aliwi ????????? ????","???????"
"1260","???? ??? ???????. ???? ??","Zainab Ji'nad Najm al-Rubaie","????????"
"1261","???? ???? ????? ????? ???????","???? ???? ????","????????"
"1262","????? ???? ????????? ???? ????????","The weight of Hazem Abdul-Kazem Jawad
Al-Shabanni","????????"
"1263","???? ????? ???? ????????????","Mohammed Rasn Y Hamza Jab-
bar Al-Boubshakha","????????"
"1264","???? ???? ????? ??? ?????????","Jawad Kazim Eidhan Abdul-
Bulani","????????"
"1265","???? ???? ???????? ????????","Faisal Hassan Sakr Salman Al-Nayli","????????"
"1266","?? ??? ???? ????? ??????","Reda Hashem Alwan Al-Qasir was in a state of turmoil","????????"
"1267","?????? ???????. ???? ????? ??","Saleh Haseer N Jihsoonni Al-
Hasthan Y","????????"
"1268","????????? ???? ????? ????????","Anmar Latif Rahman Al-Fatlawi's anklet","????????"
"1269","????????????? ????????????","Heydarshakhirfarhoud Misharighanimi","????????"
